probit
diabe
black,.07514907
hispan,.1969856
hsless,.0832326
college,.01471888
male,.1294949
lage65l,.01591149
lage6574,-.00673168
lage75p,-.00844164
lhearte,.17379168
lstroke,-.029862
lcancre,.07012003
lhibpe,.24631829
llunge,.14740894
liadl1,-.06763396
ladl12,.13437192
ladl3,.09806736
lsmoken,-.1387292
lwidowed,-.02698971
lobese,.40220385
loverwt,.18340267
fhearte,-.10197518
fstroke,.07510955
fcancre,-.08286156
fhibpe,-.02286014
flunge,-.11171765
fsmokev,.04702521
fsmoken,.16154726
fiadl1,-.09926798
fadl12,-.02772399
fadl3,-.12217321
fwidowed,.12795705
fsingle,.01022078
fwork,-.0563728
flogiearnx,-.06750633
fwlth_nonzero,.06592328
floghatotax,-.91626634
flogaime,-.01446858
flogq,-.12580896
fshlt,.08928518
fanydb,.01862883
frdb_na_2,.02210562
frdb_na_3,.16636372
frdb_na_4,.06604814
fanydc,-.10327184
flogdcwlthx,1.3850062
fobese,.42262048
foverwt,.24782214
logdeltaage,.35246505
lwork,-.05040071
llogiearnx,.72101705
lwlth_nonzero,-.02019624
lloghatotax,-.74684865
ldiclaim,.08743902
lssiclaim,-.00670753
lssclaim,.05219918
ldbclaim,.00908827
lnhmliv,.19374588
_cons,-3.7738575
