|Source: Census projections from 2012_Pop_Projection/NP2012_D4.csv for ages over 25
year	age	male	hispan
2005	58	0	0	920
2005	59	0	0	1006
2005	60	0	0	1024
2005	61	0	0	980
2005	62	0	0	953
2005	63	0	0	910
2005	64	0	0	892
2005	65	0	0	885
2005	66	0	0	875
2005	67	0	0	869
2005	68	0	0	851
2005	69	0	0	725
2005	70	0	0	535
2005	71	0	0	594
2005	72	0	0	620
2005	73	0	0	510
2005	74	0	0	466
2005	75	0	0	400
2005	76	0	0	324
2005	77	0	0	236
2005	78	0	0	211
2005	79	0	0	196
2005	80	0	0	117
2005	81	0	0	105
2005	82	0	0	126
2005	83	0	0	81
2005	84	0	0	34
2005	85	0	0	151
2005	25	0	1	2973
2005	26	0	1	2735
2005	27	0	1	2521
2005	28	0	1	2364
2005	29	0	1	2302
2005	30	0	1	2185
2005	31	0	1	2063
2005	32	0	1	1921
2005	33	0	1	1734
2005	34	0	1	1526
2005	35	0	1	1299
2005	36	0	1	1188
2005	37	0	1	1075
2005	38	0	1	906
2005	39	0	1	796
2005	40	0	1	709
2005	41	0	1	653
2005	42	0	1	604
2005	43	0	1	524
2005	44	0	1	605
2005	45	0	1	586
2005	46	0	1	535
2005	47	0	1	585
2005	48	0	1	535
2005	49	0	1	511
2005	50	0	1	426
2005	51	0	1	431
2005	52	0	1	528
2005	53	0	1	464
2005	54	0	1	496
2005	55	0	1	477
2005	56	0	1	498
2005	57	0	1	526
2005	58	0	1	602
2005	59	0	1	584
2005	60	0	1	502
2005	61	0	1	525
2005	62	0	1	440
2005	63	0	1	434
2005	64	0	1	511
2005	65	0	1	492
2005	66	0	1	462
2005	67	0	1	424
2005	68	0	1	352
2005	69	0	1	330
2005	70	0	1	339
2005	71	0	1	328
2005	72	0	1	332
2005	73	0	1	269
2005	74	0	1	250
2005	75	0	1	195
2005	76	0	1	167
2005	77	0	1	180
2005	78	0	1	178
2005	79	0	1	175
2005	80	0	1	135
2005	81	0	1	148
2005	82	0	1	143
2005	83	0	1	124
2005	84	0	1	116
2005	85	0	1	766
2005	25	1	0	6916
2005	26	1	0	6829
2005	27	1	0	6517
2005	28	1	0	6188
2005	29	1	0	5873
2005	30	1	0	5399
2005	31	1	0	4973
2005	32	1	0	4607
2005	33	1	0	4109
2005	34	1	0	3666
2005	35	1	0	3188
2005	36	1	0	2802
2005	37	1	0	2579
2005	38	1	0	2345
2005	39	1	0	2205
2005	40	1	0	1992
2005	41	1	0	1803
2005	42	1	0	1642
2005	43	1	0	1447
2005	44	1	0	1319
2005	45	1	0	1173
2005	46	1	0	1096
2005	47	1	0	1022
2005	48	1	0	905
2005	49	1	0	874
2005	50	1	0	720
2005	51	1	0	622
2005	52	1	0	622
2005	53	1	0	560
2005	54	1	0	516
2005	55	1	0	473
2005	56	1	0	458
2005	57	1	0	495
2005	58	1	0	500
2005	59	1	0	515
2005	60	1	0	385
2005	61	1	0	293
2005	62	1	0	356
2005	63	1	0	400
2005	64	1	0	558
2005	65	1	0	625
2005	66	1	0	672
2005	67	1	0	745
2005	68	1	0	682
2005	69	1	0	668
2005	70	1	0	581
2005	71	1	0	577
