Age,Number,Averageamount,Number_male,Averageamount_male,Number_female,Averageamount_female
62,900503.00,1013.65,439534.00,1167.80,460969.00,866.66
63,1271702.00,1021.34,628971.00,1177.50,642731.00,868.53
64,1263281.00,1063.86,630792.00,1227.73,632489.00,900.43
65,1226452.00,1080.59,616216.00,1242.99,610236.00,916.61
66,2036351.00,1224.12,1077150.00,1403.12,959201.00,1023.12
67,2161503.00,1241.48,1146421.00,1422.82,1015082.00,1036.69
68,2085682.00,1256.00,1108110.00,1440.40,977572.00,1046.98
69,1851682.00,1265.17,982922.00,1450.57,868760.00,1055.42
70,1735231.00,1261.90,916670.00,1442.38,818561.00,1059.78
71,1625075.00,1236.12,857724.00,1408.16,767351.00,1043.81
72,1577970.00,1221.34,832900.00,1388.72,745070.00,1034.22
73,1462022.00,1200.35,772442.00,1358.39,689580.00,1023.32
74,1364052.00,1158.77,720049.00,1301.23,644003.00,999.49
75,1300549.00,1138.33,685018.00,1271.04,615531.00,990.64
76,1218359.00,1134.62,641692.00,1261.36,576667.00,993.58
77,1111633.00,1139.11,582502.00,1264.75,529131.00,1000.79
78,1090712.00,1154.99,567959.00,1283.66,522753.00,1015.19
79,1026670.00,1144.81,533265.00,1263.99,493405.00,1016.00
80,993327.00,1142.26,513076.00,1257.02,480251.00,1019.65
81,903591.00,1141.28,459988.00,1250.45,443603.00,1028.08
82,860449.00,1156.62,430311.00,1269.50,430138.00,1043.69
83,804209.00,1165.29,395483.00,1275.83,408726.00,1058.34
84,727674.00,1154.68,351178.00,1251.86,376496.00,1064.03
85,661460.00,1168.37,310487.00,1267.56,350973.00,1080.62
86,602014.00,1152.99,277234.00,1236.50,324780.00,1081.70
87,521336.00,1144.70,236448.00,1212.63,284888.00,1088.32
88,451637.00,1145.70,199125.00,1202.13,252512.00,1101.20
89,398825.00,1148.17,171748.00,1192.07,227077.00,1114.96
90,324260.00,1149.40,135132.00,1175.22,189128.00,1130.96
91,247564.00,1169.18,98259.00,1202.64,149305.00,1147.16
92,207810.00,1216.50,78483.00,1277.80,129327.00,1179.30
93,161422.00,1241.17,58119.00,1330.11,103303.00,1191.13
94,121193.00,1310.23,40982.00,1455.02,80211.00,1236.26
95,92084.00,1284.34,29792.00,1431.73,62292.00,1213.85
96,68198.00,1256.61,20604.00,1407.85,47594.00,1191.13
97,47099.00,1230.31,13401.00,1377.80,33698.00,1171.66
98,32894.00,1199.85,8804.00,1341.88,24090.00,1147.95
99 & over,55847.00,1139.97,12767.00,1258.46,43080.00,1104.85
Total,34592322.00,1175.45,17581758.00,1323.05,17010564.00,1022.89
