Age,Number,Averageamount,Number_male,Averageamount_male,Number_female,Averageamount_female
20 & under,3655,446.27,2162,452.23,1493,437.63
21,5420,507.86,3199,522.4,2221,486.9
22,9158,551.36,5526,571.89,3632,520.13
23,13563,575.27,8052,594.22,5511,547.58
24,18307,603.03,10768,618.17,7539,581.39
25,23190,629.03,13528,645.69,9662,605.7
26,28303,652.68,16123,670.79,12180,628.71
27,32740,679.08,18353,695.28,14387,658.41
28,36908,703.36,20325,718.48,16583,684.83
29,40980,728.36,21985,745.14,18995,708.93
30,42981,744.68,22953,762.19,20028,724.6
31,46053,764,23937,783.57,22116,742.82
32,47714,776.1,24794,796.35,22920,754.19
33,50621,793.08,25943,815.66,24678,769.33
34,54615,811.02,27689,835.95,26926,785.38
35,59011,820.65,29708,848.9,29303,792.01
36,66417,836.89,33516,869.18,32901,804
37,76229,849.69,38515,881.58,37714,817.13
38,85754,867.69,43443,902.27,42311,832.19
39,90198,881.26,46354,917.31,43844,843.15
40,96136,893.23,49554,934.22,46582,849.63
41,104335,902.34,53913,945.94,50422,855.72
42,115640,913.54,60004,960.45,55636,862.95
43,130772,925.21,67457,974.8,63315,872.37
44,150687,937.7,77908,993.69,72779,877.76
45,160785,949.32,83254,1009.77,77531,884.42
46,173515,962.1,89974,1028.64,83541,890.43
47,189562,978.27,98582,1049.8,90980,900.76
48,200760,991.82,104606,1069.68,96154,907.12
49,214875,1009.22,111961,1096.21,102914,914.58
50,227764,1025.73,119483,1118.92,108281,922.91
51,248167,1040.05,129806,1142.96,118361,927.18
52,261022,1055.38,135856,1164.55,125166,936.88
53,268913,1072.91,139642,1191.34,129271,944.99
54,282410,1089.18,146537,1214.99,135873,953.49
55,293517,1106.07,152734,1241.14,140783,959.54
56,310933,1122.93,162576,1266.34,148357,965.78
57,323713,1139.5,170580,1291.02,153133,970.72
58,331539,1153.39,176505,1310.69,155034,974.3
59,353330,1165.82,189264,1331.78,164066,974.38
60,371316,1180.69,199141,1358.35,172175,975.22
61,401172,1196.38,217097,1385.25,184075,973.62
62,378277,1201.15,204505,1398.69,173772,968.68
63,331581,1193.86,180131,1395.4,151450,954.14
64,335232,1195.59,182113,1405.25,153119,946.24
65,338926,1198.42,184472,1414.02,154454,940.92
66 & over,507,1181.07,316,1396.51,191,824.62
Total,7427203,1063.14,3924844,1190.69,3502359,920.2
