Age,Number,Averageamount,Number_male,Averageamount_male,Number_female,Averageamount_female
20 & under,2784,454.64,1647,461.84,1137,444.21
21,5286,502.67,3140,509.13,2146,493.23
22,9957,541.33,5938,553.71,4019,523.02
23,14978,579.73,8877,594.84,6101,557.75
24,20460,619.31,12055,636.52,8405,594.62
25,25881,656.68,15173,675.75,10708,629.66
26,31169,684.41,17954,705.35,13215,655.95
27,35842,709.16,20420,728.09,15422,684.1
28,40395,733.76,22887,751.62,17508,710.41
29,45916,755.69,25459,776.51,20457,729.78
30,50777,778.33,27646,797.57,23131,755.35
31,56071,797.19,29891,814.84,26180,777.04
32,60658,815.86,31795,837.48,28863,792.04
33,63065,832.22,32962,854.62,30103,807.69
34,66838,849.71,34101,876.32,32737,822
35,68790,864.1,34933,891.63,33857,835.7
36,72641,876.39,36696,907.44,35945,844.7
37,78071,894.23,38973,928.96,39098,859.62
38,84093,902.13,41904,941.98,42189,862.55
39,93767,915.48,46757,959.26,47010,871.94
40,107716,929.8,53719,975.86,53997,883.97
41,119634,945.86,60095,995.43,59539,895.83
42,125123,956.01,63636,1008.67,61487,901.52
43,132028,967.45,67563,1024.19,64465,907.98
44,142523,974.21,72859,1035.16,69664,910.47
45,157335,987.58,81077,1051.2,76258,919.95
46,176457,996.14,90109,1063.43,86348,925.92
47,201574,1009.12,103065,1082.18,98509,932.69
48,215270,1021.63,110104,1101.28,105166,938.24
49,231398,1033.47,118218,1117.98,113180,945.19
50,256771,1053.24,132018,1144.34,124753,956.83
51,279131,1068.94,144038,1167.74,135093,963.59
52,301177,1086.99,155756,1194.95,145421,971.35
53,316259,1104.31,164019,1219.56,152240,980.14
54,339250,1118.81,175692,1242.6,163558,985.85
55,360179,1137.88,186865,1268.33,173314,997.22
56,374846,1158.35,194953,1297.11,179893,1007.96
57,392878,1176.64,204911,1322.32,187967,1017.83
58,399987,1192.54,208924,1347.46,191063,1023.13
59,413033,1208.66,216328,1370.92,196705,1030.21
60,425073,1225.29,224978,1394.03,200095,1035.56
61,428495,1238.76,229330,1412.3,199165,1038.93
62,446407,1253.67,240733,1434.41,205674,1042.12
63,447601,1264.97,241670,1456.15,205931,1040.62
64,454772,1269.95,246344,1470.76,208428,1032.6
65,403200,1267.7,217605,1477.09,185595,1022.19
66 & over,511,1238.4,319,1426.6,192,925.71
Total,8576067,1110.51,4494136,1236.74,4081931,971.54
