Age,Number,Averageamount,Number_male,Averageamount_male,Number_female,Averageamount_female
62,962369.00,1002.16,472081.00,1165.97,490288.00,844.44
63,1124324.00,1033.00,559188.00,1199.75,565136.00,868.01
64,1050914.00,1038.43,526003.00,1203.29,524911.00,873.23
65,1251531.00,1077.22,630674.00,1247.33,620857.00,904.42
66,2129047.00,1221.25,1129982.00,1405.63,999065.00,1012.71
67,2096834.00,1244.38,1117718.00,1431.75,979116.00,1030.48
68,1871923.00,1255.53,998112.00,1443.67,873811.00,1040.62
69,1744255.00,1247.83,930634.00,1431.91,813621.00,1037.28
70,1652678.00,1228.11,877346.00,1403.23,775332.00,1029.95
71,1611515.00,1214.17,854611.00,1384.31,756904.00,1022.07
72,1497113.00,1193.39,795044.00,1354.32,702069.00,1011.15
73,1400633.00,1151.71,743345.00,1297.27,657288.00,987.10
74,1339882.00,1130.98,710200.00,1267.02,629682.00,977.56
75,1259327.00,1127.21,667432.00,1257.66,591895.00,980.12
76,1153011.00,1131.35,608522.00,1260.44,544489.00,987.08
77,1136084.00,1147.18,596183.00,1279.42,539901.00,1001.15
78,1073857.00,1136.95,562337.00,1259.77,511520.00,1001.92
79,1043900.00,1133.79,544181.00,1252.59,499719.00,1004.42
80,955210.00,1132.85,491368.00,1245.75,463842.00,1013.25
81,915534.00,1148.32,463141.00,1264.99,452393.00,1028.87
82,861207.00,1156.75,428903.00,1270.91,432304.00,1043.48
83,784977.00,1145.94,383833.00,1247.32,401144.00,1048.94
84,721194.00,1160.00,343816.00,1262.88,377378.00,1066.28
85,662649.00,1144.26,310151.00,1231.36,352498.00,1067.62
86,579699.00,1135.93,267662.00,1207.69,312037.00,1074.37
87,508711.00,1136.96,229068.00,1197.18,279643.00,1087.63
88,455710.00,1140.01,200666.00,1188.12,255044.00,1102.15
89,376260.00,1140.70,160614.00,1170.17,215646.00,1118.76
90,292087.00,1160.48,119421.00,1196.58,172666.00,1135.51
91,249975.00,1209.31,97160.00,1272.05,152815.00,1169.43
92,197731.00,1235.07,73769.00,1324.65,123962.00,1181.75
93,152511.00,1304.01,53707.00,1446.06,98804.00,1226.80
94,117984.00,1280.41,39674.00,1424.27,78310.00,1207.53
95,89867.00,1254.24,28454.00,1404.56,61413.00,1184.59
96,63494.00,1226.09,18974.00,1369.00,44520.00,1165.18
97,45401.00,1196.19,12715.00,1331.61,32686.00,1143.51
98,30292.00,1169.95,8032.00,1289.52,22260.00,1126.81
99 & over,53223.00,1118.95,12039.00,1229.91,41184.00,1086.51
Total,33512913.00,1164.32,17066760.00,1311.65,16446153.00,1011.42
