Age,Number,Averageamount,Number_male,Averageamount_male,Number_female,Averageamount_female
62,795351.00,1010.47,386718.00,1186.38,408633.00,844.00
63,920331.00,1005.32,455037.00,1173.23,465294.00,841.10
64,1055794.00,1031.97,526314.00,1204.00,529480.00,860.97
65,1309056.00,1071.57,658094.00,1246.25,650962.00,894.97
66,2071211.00,1226.00,1106274.00,1416.92,964937.00,1007.11
67,1879818.00,1244.07,1007253.00,1435.31,872565.00,1023.31
68,1760293.00,1237.94,944466.00,1424.99,815827.00,1021.40
69,1661329.00,1215.30,891410.00,1394.28,769919.00,1008.08
70,1638454.00,1205.88,874864.00,1378.85,763590.00,1007.69
71,1529493.00,1186.07,816156.00,1349.61,713337.00,998.96
72,1434753.00,1144.37,765476.00,1293.05,669277.00,974.30
73,1376851.00,1123.62,733988.00,1262.79,642863.00,964.72
74,1297814.00,1119.54,691910.00,1253.51,605904.00,966.56
75,1191995.00,1123.63,633172.00,1256.18,558823.00,973.44
76,1178708.00,1139.57,622923.00,1275.04,555785.00,987.74
77,1119342.00,1128.71,590748.00,1255.08,528594.00,987.48
78,1092392.00,1125.67,574269.00,1248.07,518123.00,990.00
79,1004628.00,1124.11,521631.00,1240.61,482997.00,998.28
80,967649.00,1139.66,494772.00,1259.82,472877.00,1013.93
81,915688.00,1148.17,461616.00,1265.82,454072.00,1028.55
82,840700.00,1137.25,416653.00,1242.41,424047.00,1033.93
83,778374.00,1151.60,376533.00,1257.87,401841.00,1052.03
84,721364.00,1135.93,343093.00,1226.46,378271.00,1053.82
85,637614.00,1127.43,299531.00,1202.70,338083.00,1060.75
86,566165.00,1128.80,260119.00,1192.65,306046.00,1074.53
87,512765.00,1131.25,230272.00,1182.70,282493.00,1089.32
88,429516.00,1132.09,187693.00,1165.75,241823.00,1105.96
89,338544.00,1151.62,142164.00,1190.75,196380.00,1123.29
90,294767.00,1201.79,117915.00,1266.59,176852.00,1158.59
91,237157.00,1228.96,91378.00,1319.32,145779.00,1172.32
92,186949.00,1298.73,68425.00,1437.52,118524.00,1218.61
93,147839.00,1276.10,51716.00,1416.72,96123.00,1200.44
94,115006.00,1251.81,38020.00,1396.94,76986.00,1180.13
95,83598.00,1221.28,26265.00,1357.44,57333.00,1158.90
96,61245.00,1194.43,18057.00,1321.93,43188.00,1141.12
97,41835.00,1169.37,11683.00,1285.87,30152.00,1124.23
98,28659.00,1140.68,7494.00,1250.98,21165.00,1101.63
99 & over,50098.00,1101.00,11406.00,1203.26,38692.00,1070.86
Total,32273145.00,1152.89,16455508.00,1299.14,15817637.00,1000.73
