AGE,TOT_TOT,TOT_MALE,TOT_FEMALE,WHITE_TOT,WHITE_MALE,WHITE_FEMALE,BLACK_TOT,BLACK_MALE,BLACK_FEMALE,AIE_TOT,AIE_MALE,AIE_FEMALE,API_TOT,API_MALE,API_FEMALE,HISP_TOT,HISP_MALE,HISP_FEMALE,NH_WHITE_TOT,NH_WHITE_MALE,NH_WHITE_FEMALE,NH_BLACK_TOT,NH_BLACK_MALE,NH_BLACK_FEMALE,NH_AIE_TOT,NH_AIE_MALE,NH_AIE_FEMALE,NH_API_TOT,NH_API_MALE,NH_API_FEMALE
55 to 59 years,12401,5957,6443,10677,5188,5488,1246,546,700,80,37,42,398,186,212,872,411,461,9882,4813,5069,1193,522,672,72,34,38,381,178,203
55 years,2892,1395,1497,2497,1217,1281,285,128,158,19,9,10,90,42,49,196,92,104,2319,1133,1187,273,122,151,17,8,9,86,40,46
56 years,2568,1233,1334,2208,1074,1133,263,114,149,16,8,9,81,37,43,179,85,95,2044,997,1047,252,109,143,15,7,8,77,36,41
57 years,2451,1176,1275,2104,1021,1083,250,109,141,16,8,8,81,38,43,177,84,93,1943,945,998,240,105,135,14,7,8,78,36,41
58 years,2195,1052,1143,1895,919,976,216,94,122,14,6,7,70,33,37,158,75,84,1750,850,900,207,90,117,12,6,7,67,31,36
59 years,2295,1101,1194,1973,958,1016,231,101,130,15,7,8,76,36,40,162,76,86,1826,888,938,221,96,125,14,6,7,73,34,38
60 to 64 years,10261,4847,5413,8849,4233,4615,1027,439,588,63,29,34,322,146,176,701,324,377,8209,3936,4273,985,421,565,56,26,30,309,141,168
60 years,2197,1038,1158,1888,903,986,224,96,127,14,7,7,71,33,38,152,70,82,1750,839,911,214,92,122,13,6,7,68,32,36
61 years,2040,969,1072,1761,847,914,201,86,116,13,6,7,65,30,35,141,65,76,1632,787,845,193,82,111,11,5,6,63,29,34
62 years,2018,952,1066,1734,829,905,206,88,119,12,6,7,65,30,35,140,65,75,1607,770,837,198,84,114,11,5,6,62,28,34
63 years,2052,973,1079,1784,857,927,196,83,113,12,6,6,60,27,33,140,65,75,1656,797,859,188,80,108,11,5,6,58,26,32
64 years,1954,916,1038,1681,798,883,200,86,114,12,5,6,61,27,35,129,59,70,1563,743,820,192,83,109,10,5,6,59,26,33
65 to 69 years,9572,4378,5194,8324,3847,4477,929,396,533,50,22,28,269,113,157,589,264,325,7787,3605,4182,893,381,512,44,20,24,259,109,150
70 to 74 years,8793,3846,4947,7821,3449,4373,721,293,428,40,17,22,211,87,124,462,200,262,7397,3263,4134,697,283,413,35,16,20,202,84,118
75 to 79 years,7204,2983,4221,6488,2702,3786,547,211,336,29,12,17,140,58,82,320,133,187,6193,2579,3615,532,205,327,27,11,16,133,56,77
80 to 84 years,4720,1747,2973,4306,1600,2706,324,110,214,18,7,11,73,30,43,186,68,118,4134,1536,2597,315,107,208,17,6,10,69,29,40
85 to 89 years,2527,786,1741,2309,717,1593,176,54,123,11,3,7,31,12,19,102,33,69,2214,685,1529,172,53,120,10,3,7,29,11,18
90 to 94 years,1088,273,815,986,245,742,86,23,63,6,2,4,10,4,6,43,13,30,945,232,713,85,22,62,5,2,4,9,3,6
95 to 99 years,317,65,252,281,56,225,30,7,23,2,1,2,4,1,3,13,4,10,268,53,216,30,7,23,2,1,2,4,1,3
100 years and over,63,10,53,53,8,45,8,2,6,1,0,0,1,0,1,3,1,2,50,7,43,8,2,6,1,0,0,1,0,1
16 years and over,207594,99933,107660,173590,84152,89439,24668,11367,13301,1614,787,827,7721,3627,4095,20123,10095,10028,155305,74960,80345,23479,10782,12697,1393,674,719,7294,3422,3872
18 years and over,199773,95909,103863,167398,80958,86439,23471,10755,12716,1521,741,781,7382,3455,3927,19084,9561,9523,150054,72251,77803,22342,10201,12141,1315,635,680,6978,3261,3717
15 to 44 years,120022,60177,59845,97288,49215,48073,16439,7902,8537,1120,563,557,5175,2497,2678,14636,7584,7052,84012,42324,41687,15569,7458,8111,950,473,477,4856,2338,2519
65 years and over,34286,14089,20197,30569,12624,17945,2822,1096,1726,156,64,91,739,305,434,1719,717,1002,28988,11960,17028,2732,1060,1672,141,59,82,706,293,413
85 years and over,3996,1134,2862,3630,1026,2604,301,85,216,19,6,13,46,17,29,162,51,111,3478,978,2500,295,84,211,18,6,12,43,16,27
Median age,35.2,34.0,36.3,36.3,35.2,37.4,29.6,27.7,31.3,27.3,26.6,28.1,31.0,29.9,32.1,26.8,26.3,27.3,37.7,36.5,38.9,29.8,27.8,31.5,27.7,26.9,28.6,31.4,30.2,32.4
Mean age,36.2,34.8,37.5,37.1,35.8,38.5,31.6,30.1,33.0,30.1,29.2,31.0,32.1,31.0,33.0,28.8,28.1,29.6,38.3,36.9,39.6,31.8,30.2,33.2,30.6,29.6,31.4,32.3,31.2,33.2
