Age,Number,Averageamount,Number_male,Averageamount_male,Number_female,Averageamount_female
20 & under,4124,443.32,2466,453.16,1658,428.69
21,5821,502.49,3475,516.25,2346,482.1
22,10153,546.16,6019,563.14,4134,521.44
23,14689,584.12,8811,606.31,5878,550.85
24,19482,612.17,11479,631.81,8003,584.01
25,24339,635.95,14210,653.09,10129,611.91
26,29089,658.46,16843,675.3,12246,635.3
27,34111,681.85,19302,701.31,14809,656.47
28,38556,707.36,21426,725.06,17130,685.23
29,43173,728.21,23435,743.53,19738,710.02
30,47449,749.91,25221,768.98,22228,728.27
31,49636,764.99,26272,784.33,23364,743.25
32,52758,782.05,27233,803.02,25525,759.68
33,54467,795.88,28036,818.33,26431,772.07
34,57570,809.73,29361,833.57,28209,784.92
35,62084,828.47,31285,855.31,30799,801.22
36,67119,836.65,33629,866.11,33490,807.06
37,75016,851.62,37662,886.39,37354,816.56
38,86182,863.91,43349,899.79,42833,827.59
39,96462,881.36,48721,919.69,47741,842.24
40,101218,893.78,51822,935.18,49396,850.34
41,107670,904.72,55300,949.58,52370,857.35
42,116489,913.33,59875,961.51,56614,862.37
43,128904,924.25,66774,976.22,62130,868.39
44,145525,935.8,74775,990.86,70750,877.6
45,166900,948.24,85870,1009.03,81030,883.81
46,178239,959.19,91662,1024.7,86577,889.82
47,191957,972.44,98889,1043.96,93068,896.45
48,209106,988.38,108099,1064.92,101007,906.45
49,221223,1002.56,114704,1085.23,106519,913.53
50,239894,1020.13,124636,1112.09,115258,920.7
51,256549,1038.48,133858,1138.12,122691,929.77
52,276645,1052.26,143972,1160.34,132673,934.97
53,289746,1068.01,150211,1183.06,139535,944.16
54,297803,1084.98,153966,1208.46,143837,952.81
55,317108,1103.61,164653,1234.69,152455,962.06
56,329257,1120.99,171464,1261.69,157793,968.11
57,343415,1136.86,179370,1285,164045,974.87
58,355304,1152.37,187198,1308.45,168106,978.56
59,362079,1166.48,192767,1328.09,169312,982.47
60,384756,1180.15,206348,1349.79,178408,983.94
61,402124,1194.74,216445,1375.32,185679,984.24
62,428449,1210.96,232285,1402.33,196164,984.35
63,392718,1210.56,212179,1410.26,180539,975.87
64,337540,1199.21,183134,1402.24,154406,958.41
65,335132,1199.8,181921,1410.51,153211,949.6
66 & over,1083,1183.43,662,1408.31,421,829.82
Total,7789113,1064.31,4101074,1189.44,3688039,925.17
