Age,Number,Averageamount,Number_male,Averageamount_male,Number_female,Averageamount_female
20 & under,1902,458.03,1100,464.25,802,449.51
21,4033,514.86,2374,523.99,1659,501.8
22,8381,544.84,5011,553.76,3370,531.58
23,13597,581.26,8091,594.68,5506,561.54
24,18745,616.11,11016,631.53,7729,594.12
25,24659,654.65,14378,670.97,10281,631.81
26,30122,690.39,17457,708.9,12665,664.87
27,35562,718.03,20291,739.51,15271,689.5
28,40324,741.72,22785,761.84,17539,715.57
29,45027,767.26,25274,785.07,19753,744.48
30,50821,787.06,27862,807.35,22959,762.43
31,55905,810.43,30187,831.03,25718,786.25
32,61756,827.65,32640,847.07,29116,805.88
33,66374,846.18,34555,869.74,31819,820.6
34,69314,862.71,35918,885.91,33396,837.75
35,72975,880.04,37074,908.58,35901,850.56
36,75078,893.48,37949,924.03,37129,862.25
37,79268,906.06,39709,938.35,39559,873.64
38,85319,923.78,42513,961.12,42806,886.69
39,91859,932.7,45647,975.85,46212,890.07
40,102306,946.06,50767,992.78,51539,900.04
41,117578,959.29,58437,1009.09,59141,910.08
42,130429,975.19,65124,1028.38,65305,922.15
43,135951,985.53,68966,1042.79,66985,926.57
44,143641,996.02,73181,1057.32,70460,932.36
45,154834,1003.38,78864,1068.79,75970,935.48
46,170660,1016.23,87587,1085,83073,943.71
47,191094,1024.68,97235,1097.16,93859,949.59
48,217917,1038.82,110968,1117.96,106949,956.71
49,232887,1051.88,118627,1136.99,114260,963.51
50,255149,1064.75,129979,1156.02,125170,969.96
51,285595,1083.8,146288,1181.9,139307,980.78
52,306742,1100.47,157637,1206.78,149105,988.09
53,328769,1116.52,169345,1230.9,159424,995.01
54,345119,1134.91,178146,1256.29,166973,1005.39
55,376757,1150.84,194911,1281.43,181846,1010.87
56,399468,1171.23,207393,1308.36,192075,1023.17
57,409830,1190.93,212943,1336.51,196887,1033.47
58,426903,1208.53,222203,1360.24,204700,1043.85
59,433425,1224.67,226137,1385.17,207288,1049.58
60,446863,1241.33,234235,1408.98,212628,1056.63
61,457368,1258.7,242326,1432.4,215042,1062.96
62,455581,1272.69,243866,1451.21,211715,1067.05
63,461454,1283.56,248509,1469.33,212945,1066.77
64,454726,1292.92,244823,1489.03,209903,1064.17
65,454545,1296.21,245723,1501.36,208822,1054.82
66 & over,1183,1180.91,561,1468.5,622,921.53
Total,8827795,1130.34,4606612,1256.22,4221183,992.97
