Age,Number,Averageamount,Number_male,Averageamount_male,Number_female,Averageamount_female
62,682966.00,934.49,333897.00,1102.26,349069.00,774.01
63,945577.00,949.00,470144.00,1115.28,475433.00,784.57
64,1119846.00,974.28,562049.00,1142.43,557797.00,804.86
65,1382903.00,1041.72,707056.00,1218.06,675847.00,857.23
66,1873929.00,1160.24,1006030.00,1344.73,867899.00,946.39
67,1778287.00,1159.75,957900.00,1339.55,820387.00,949.82
68,1684429.00,1139.70,908127.00,1311.99,776302.00,938.16
69,1654921.00,1129.38,891925.00,1296.52,762996.00,934.01
70,1558000.00,1113.54,836061.00,1270.94,721939.00,931.26
71,1467703.00,1074.48,786853.00,1218.06,680850.00,908.56
72,1411949.00,1054.79,757212.00,1189.68,654737.00,898.79
73,1335101.00,1050.63,716134.00,1180.84,618967.00,899.99
74,1229714.00,1054.58,657551.00,1183.17,572163.00,906.80
75,1220413.00,1069.66,649513.00,1200.99,570900.00,920.26
76,1163302.00,1059.14,618630.00,1181.97,544672.00,919.63
77,1140009.00,1056.07,604189.00,1175.13,535820.00,921.82
78,1053633.00,1054.36,552067.00,1168.03,501566.00,929.25
79,1019483.00,1069.30,526953.00,1186.28,492530.00,944.14
80,970260.00,1076.74,494911.00,1191.39,475349.00,957.37
81,896117.00,1066.48,449848.00,1169.63,446269.00,962.50
82,835916.00,1080.26,409916.00,1184.20,426000.00,980.24
83,781480.00,1065.17,377381.00,1154.60,404099.00,981.66
84,697172.00,1056.97,332855.00,1132.19,364317.00,988.25
85,625173.00,1058.22,292523.00,1122.78,332650.00,1001.45
86,573610.00,1060.24,262775.00,1112.57,310835.00,1016.00
87,486442.00,1061.32,217114.00,1097.21,269328.00,1032.40
88,389586.00,1079.74,167492.00,1120.29,222094.00,1049.16
89,344457.00,1127.34,141464.00,1190.62,202993.00,1083.24
90,282040.00,1154.34,111909.00,1240.94,170131.00,1097.37
91,226910.00,1221.68,85746.00,1351.12,141164.00,1143.05
92,183060.00,1200.69,66177.00,1331.12,116883.00,1126.84
93,145857.00,1178.11,50229.00,1310.52,95628.00,1108.57
94,108934.00,1150.27,35723.00,1277.05,73211.00,1088.41
95,81672.00,1124.42,25093.00,1242.75,56579.00,1071.95
96,57410.00,1102.52,16716.00,1210.93,40694.00,1057.99
97,40564.00,1072.86,11123.00,1169.32,29441.00,1036.42
98,27961.00,1064.96,7333.00,1151.64,20628.00,1034.15
99 & over,48312.00,1020.45,10934.00,1120.25,37378.00,991.25
Total,31525098.00,1078.54,16109553.00,1215.71,15415545.00,935.19
