Age,Number,Averageamount,Number_male,Averageamount_male,Number_female,Averageamount_female
62,774984.00,882.85,386177.00,1052.98,388807.00,713.88
63,1013313.00,908.71,513656.00,1076.90,499657.00,735.82
64,1031909.00,944.83,528106.00,1115.68,503803.00,765.74
65,1411386.00,1022.78,747187.00,1197.66,664199.00,826.04
66,1705436.00,1060.36,927482.00,1229.65,777954.00,858.52
67,1692737.00,1053.78,922487.00,1217.56,770250.00,857.63
68,1591162.00,1037.67,868613.00,1193.33,722549.00,850.53
69,1507974.00,1001.38,822879.00,1144.53,685095.00,829.42
70,1471078.00,984.87,798156.00,1118.76,672922.00,826.07
71,1400980.00,981.09,759763.00,1110.60,641217.00,827.65
72,1298252.00,985.01,702395.00,1112.65,595857.00,834.55
73,1296693.00,999.25,698785.00,1129.18,597908.00,847.39
74,1243622.00,988.47,670344.00,1110.68,573278.00,845.56
75,1227805.00,985.34,660649.00,1104.15,567156.00,846.94
76,1144066.00,983.40,609560.00,1097.10,534506.00,853.73
77,1116815.00,997.25,587850.00,1114.30,528965.00,867.17
78,1073499.00,1004.27,558565.00,1118.91,514934.00,879.91
79,1002629.00,994.22,514651.00,1098.24,487978.00,884.50
80,946983.00,1007.27,475904.00,1111.70,471079.00,901.76
81,898088.00,992.71,445124.00,1084.47,452964.00,902.53
82,812657.00,984.61,399677.00,1062.91,412980.00,908.83
83,741543.00,985.23,357993.00,1053.85,383550.00,921.18
84,693891.00,986.95,329061.00,1043.75,364830.00,935.72
85,601699.00,987.45,278940.00,1029.40,322759.00,951.19
86,494373.00,1005.71,221426.00,1051.53,272947.00,968.54
87,448422.00,1051.61,193221.00,1116.16,255201.00,1002.74
88,378433.00,1078.46,157919.00,1164.07,220514.00,1017.16
89,315421.00,1142.50,126036.00,1263.75,189385.00,1061.80
90,264291.00,1123.72,101899.00,1243.10,162392.00,1048.81
91,218475.00,1102.00,80544.00,1220.19,137931.00,1032.98
92,170218.00,1079.41,60236.00,1195.44,109982.00,1015.85
93,134252.00,1055.24,45123.00,1161.46,89129.00,1001.47
94,98388.00,1035.71,31612.00,1129.32,66776.00,991.40
95,73318.00,1011.46,22135.00,1097.47,51183.00,974.27
96,53387.00,1000.67,15438.00,1081.02,37949.00,967.98
97,37457.00,988.78,10233.00,1075.98,27224.00,956.01
98,25674.00,974.43,6569.00,1062.63,19105.00,944.11
99 & over,43937.00,927.06,10012.00,1021.16,33925.00,899.29
Total,30455247.00,1001.97,15646407.00,1129.43,14808840.00,867.30
