Age,Number,Averageamount,Number_male,Averageamount_male,Number_female,Averageamount_female
20 & under,3995,413.6,2399,416.86,1596,408.71
21,5927,453.47,3461,460.84,2466,443.12
22,10138,484.53,6034,490.65,4104,475.54
23,15255,510.79,8906,520.29,6349,497.47
24,19361,544.03,11241,554.96,8120,528.89
25,23519,570.46,13417,580.54,10102,557.07
26,27630,596.27,15440,608.71,12190,580.5
27,29486,611.96,16350,623.22,13136,597.95
28,32013,632.09,17279,643.62,14734,618.57
29,33787,646.39,18110,658.31,15677,632.61
30,36169,663.55,19077,676.09,17092,649.55
31,38856,678.92,20366,693.94,18490,662.37
32,42335,689.35,21823,704.69,20512,673.03
33,47871,705.34,24887,722.9,22984,686.33
34,55977,719.71,29151,736.47,26826,701.49
35,63284,737.55,33106,755.63,30178,717.71
36,66833,750.08,35323,767.41,31510,730.64
37,71995,761.38,38054,782.29,33941,737.94
38,78834,770.79,41771,793.7,37063,744.97
39,87716,782.35,46766,808.63,40950,752.34
40,99664,793.32,52860,820.91,46804,762.16
41,116040,805.21,61504,838.98,54536,767.13
42,124017,815.32,65955,851.43,58062,774.3
43,134947,827.78,71922,870.86,63025,778.62
44,147731,843.15,78771,889.17,68960,790.57
45,157228,855.07,84283,906.67,72945,795.44
46,168248,869.74,89957,930.36,78291,800.09
47,176562,883.84,94763,948.58,81799,808.83
48,188250,895.01,100765,968.31,87485,810.57
49,196366,908.63,104544,987.53,91822,818.8
50,203227,925.62,108242,1012.57,94985,826.54
51,217010,940.36,115271,1035.59,101739,832.47
52,224915,953.73,119298,1057.45,105617,836.57
53,234852,965.95,124192,1077.99,110660,840.22
54,243918,980.37,129791,1099.12,114127,845.32
55,254608,994.1,136941,1119.32,117667,848.37
56,277751,1007.26,150493,1141.32,127258,848.72
57,295028,1020.99,159490,1166.3,135538,850
58,321281,1035.01,174896,1191.96,146385,847.49
59,307129,1037.53,166600,1204.24,140529,839.89
60,280773,1034.6,152967,1206.66,127806,828.66
61,300787,1042.55,164663,1222.63,136124,824.71
62,324357,1054.14,178196,1240.9,146161,826.44
63,314923,1051.42,174304,1240.82,140619,816.66
64,285704,1039.37,159333,1226.87,126371,802.96
65,137680,1037.5,78116,1225.42,59564,791.05
66 & over,605,1020.5,389,1179.9,216,733.44
Total,6524582,938.19,3521467,1051.55,3003115,805.26
