Age,Number,Averageamount,Number_male,Averageamount_male,Number_female,Averageamount_female
62,772836.00,1061.41,365796.00,1199.14,407040.00,937.64
63,1081334.00,1082.43,516303.00,1219.57,565031.00,957.13
64,1211127.00,1104.33,580184.00,1242.32,630943.00,977.44
65,1470923.00,1169.73,708664.00,1316.56,762259.00,1033.21
66,2492976.00,1356.30,1282704.00,1530.36,1210272.00,1171.83
67,2701749.00,1371.93,1403956.00,1548.86,1297793.00,1180.54
68,2449770.00,1404.10,1277760.00,1588.47,1172010.00,1203.09
69,2033024.00,1385.84,1064476.00,1566.60,968548.00,1187.18
70,2082143.00,1417.29,1082310.00,1601.86,999833.00,1217.49
71,2119091.00,1416.88,1098785.00,1603.25,1020306.00,1216.19
72,1998180.00,1419.08,1036501.00,1607.52,961679.00,1215.98
73,1741874.00,1421.04,901506.00,1610.74,840368.00,1217.55
74,1592398.00,1405.03,823933.00,1589.71,768465.00,1207.02
75,1472824.00,1375.13,760514.00,1550.06,712310.00,1188.37
76,1414651.00,1359.39,729972.00,1529.18,684679.00,1178.37
77,1294632.00,1336.38,667630.00,1495.56,627002.00,1166.89
78,1190757.00,1292.43,612397.00,1432.33,578360.00,1144.30
79,1117718.00,1271.06,572700.00,1398.95,545018.00,1136.68
80,1029275.00,1267.75,525895.00,1388.46,503380.00,1141.65
81,921594.00,1273.63,467592.00,1392.49,454002.00,1151.21
82,884731.00,1291.78,444373.00,1414.97,440358.00,1167.47
83,813802.00,1281.84,406151.00,1393.70,407651.00,1170.39
84,765955.00,1280.54,378750.00,1386.77,387205.00,1176.62
85,676258.00,1280.87,327680.00,1380.80,348578.00,1186.92
86,622740.00,1295.97,294795.00,1401.72,327945.00,1200.90
87,560833.00,1305.43,259495.00,1408.98,301338.00,1216.26
88,486011.00,1293.79,219269.00,1382.50,266742.00,1220.86
89,420853.00,1307.66,183296.00,1401.05,237557.00,1235.60
90,363566.00,1291.11,154331.00,1367.01,209235.00,1235.13
91,296321.00,1280.51,122845.00,1340.14,173476.00,1238.28
92,239953.00,1280.51,95959.00,1328.15,143994.00,1248.75
93,197039.00,1281.97,76201.00,1316.23,120838.00,1260.36
94,147246.00,1281.85,54070.00,1299.19,93176.00,1271.78
95,104128.00,1300.91,35904.00,1327.71,68224.00,1286.80
96,79443.00,1345.76,25741.00,1410.95,53702.00,1314.51
97,55796.00,1366.91,16783.00,1469.68,39013.00,1322.69
98,37546.00,1442.92,10579.00,1609.91,26967.00,1377.41
99 & over,67674.00,1363.07,16043.00,1544.72,51631.00,1306.63
Total,39008771.00,1328.58,19601843.00,1488.07,19406928.00,1167.49
