Age,Number,Averageamount,Number_male,Averageamount_male,Number_female,Averageamount_female
62,866186.00,1027.23,417926.00,1176.37,448260.00,888.19
63,1186231.00,1066.69,581235.00,1219.28,604996.00,920.09
64,1403198.00,1086.48,692895.00,1245.07,710303.00,931.78
65,1456108.00,1142.77,725042.00,1309.74,731066.00,977.19
66,2008409.00,1271.67,1059145.00,1451.22,949264.00,1071.33
67,2073327.00,1289.00,1096107.00,1471.24,977220.00,1084.58
68,2153802.00,1299.19,1138457.00,1484.24,1015345.00,1091.70
69,2065436.00,1311.72,1092617.00,1499.90,972819.00,1100.36
70,1847966.00,1328.65,971690.00,1517.56,876276.00,1119.17
71,1706764.00,1315.90,896299.00,1500.04,810465.00,1112.26
72,1591285.00,1287.99,835776.00,1463.30,755509.00,1094.05
73,1541143.00,1272.50,809254.00,1443.22,731889.00,1083.74
74,1424150.00,1250.64,748313.00,1411.47,675837.00,1072.56
75,1324649.00,1207.86,695194.00,1352.16,629455.00,1048.50
76,1258797.00,1186.76,658810.00,1320.56,599987.00,1039.84
77,1174798.00,1183.13,614539.00,1310.65,560259.00,1043.25
78,1067684.00,1187.97,555425.00,1314.13,512259.00,1051.18
79,1043035.00,1204.59,538786.00,1333.98,504249.00,1066.34
80,976641.00,1194.44,503004.00,1313.72,473637.00,1067.76
81,939787.00,1192.22,480703.00,1306.83,459084.00,1072.21
82,849101.00,1191.46,427622.00,1299.89,421479.00,1081.44
83,802825.00,1207.06,396426.00,1320.06,406399.00,1096.83
84,744678.00,1216.22,361310.00,1327.05,383368.00,1111.77
85,667825.00,1205.40,317696.00,1302.01,350129.00,1117.74
86,601022.00,1219.09,277441.00,1318.09,323581.00,1134.21
87,540855.00,1203.31,244698.00,1285.72,296157.00,1135.22
88,462449.00,1194.83,205683.00,1261.14,256766.00,1141.70
89,395161.00,1195.80,170700.00,1250.60,224461.00,1154.13
90,343140.00,1198.07,144404.00,1239.82,198736.00,1167.74
91,273931.00,1199.34,111116.00,1223.05,162815.00,1183.16
92,205241.00,1218.92,78966.00,1250.77,126275.00,1199.00
93,168689.00,1266.59,61569.00,1328.83,107120.00,1230.81
94,128355.00,1291.07,44487.00,1383.23,83868.00,1242.18
95,93846.00,1362.17,30571.00,1512.18,63275.00,1289.70
96,69614.00,1334.04,21607.00,1490.11,48007.00,1263.80
97,50151.00,1305.32,14324.00,1465.87,35827.00,1241.13
98,33908.00,1277.66,9274.00,1432.60,24634.00,1219.33
99 & over,58859.00,1207.14,13573.00,1347.87,45286.00,1164.96
Total,35599046.00,1228.57,18042684.00,1381.38,17556362.00,1071.54
