Age,Number,Averageamount,Number_male,Averageamount_male,Number_female,Averageamount_female
62,714003.00,911.60,351627.00,1082.94,362376.00,745.35
63,1017807.00,928.00,511210.00,1095.56,506597.00,758.91
64,1112074.00,963.50,563416.00,1134.93,548658.00,787.46
65,1369918.00,1046.59,712411.00,1225.73,657507.00,852.49
66,1778946.00,1121.79,960778.00,1301.25,818168.00,911.04
67,1699614.00,1105.75,920706.00,1277.17,778908.00,903.12
68,1676090.00,1096.55,908301.00,1262.77,767789.00,899.92
69,1571022.00,1079.20,852566.00,1237.15,718456.00,891.76
70,1494694.00,1043.51,806108.00,1187.06,688586.00,875.46
71,1444102.00,1024.41,778348.00,1159.56,665754.00,866.40
72,1369325.00,1020.29,738341.00,1150.96,630984.00,867.38
73,1265102.00,1024.15,680406.00,1153.13,584696.00,874.06
74,1259572.00,1038.86,674446.00,1170.31,585126.00,887.35
75,1204537.00,1028.27,644807.00,1151.53,559730.00,886.29
76,1185079.00,1025.11,632786.00,1144.84,552293.00,887.93
77,1099757.00,1023.21,581033.00,1137.64,518724.00,895.04
78,1068858.00,1037.63,557581.00,1155.30,511277.00,909.31
79,1022443.00,1045.11,526962.00,1160.32,495481.00,922.58
80,950140.00,1034.79,482511.00,1138.91,467629.00,927.36
81,891959.00,1048.38,442928.00,1153.15,449031.00,945.03
82,839895.00,1033.24,410883.00,1124.46,429012.00,945.88
83,754868.00,1025.18,365929.00,1102.45,388939.00,952.50
84,683484.00,1026.11,325099.00,1092.99,358385.00,965.44
85,633551.00,1027.89,295619.00,1082.72,337932.00,979.93
86,543561.00,1028.99,247417.00,1068.06,296144.00,996.35
87,441054.00,1047.15,193685.00,1090.87,247369.00,1012.93
88,395061.00,1094.44,166215.00,1158.64,228846.00,1047.80
89,328661.00,1121.16,133903.00,1207.33,194758.00,1061.92
90,269125.00,1187.42,104615.00,1313.20,164510.00,1107.43
91,221823.00,1167.67,82870.00,1292.55,138953.00,1093.19
92,179810.00,1145.99,64142.00,1271.08,115668.00,1076.63
93,137098.00,1119.95,46844.00,1241.06,90254.00,1057.08
94,105747.00,1094.65,34036.00,1206.55,71711.00,1041.54
95,75861.00,1073.83,23238.00,1174.88,52623.00,1029.21
96,55023.00,1047.51,15866.00,1140.34,39157.00,1009.90
97,39124.00,1037.86,10749.00,1121.77,28375.00,1006.07
98,26692.00,1024.08,6941.00,1116.02,19751.00,991.76
99 & over,45905.00,977.09,10333.00,1076.95,35572.00,948.08
Total,30971385.00,1044.39,15865656.00,1177.42,15105729.00,904.66
