Age,Number,Averageamount,Number_male,Averageamount_male,Number_female,Averageamount_female
20 & under,3469,427.67,2042,432.59,1427,420.63
21,5369,470.26,3197,479.35,2172,456.89
22,9307,502.28,5501,509.98,3806,491.15
23,13990,532.59,8326,541.91,5664,518.89
24,19030,559.05,11001,571.14,8029,542.47
25,23468,588.58,13386,600.85,10082,572.28
26,27679,611.48,15592,623.92,12087,595.42
27,31700,640.31,17446,655.43,14254,621.81
28,33497,657.08,18256,671.72,15241,639.55
29,36322,678.11,19331,694.42,16991,659.56
30,37996,692.23,20141,709.47,17855,672.79
31,40491,707.98,21082,725.64,19409,688.81
32,43595,724.09,22534,745.81,21061,700.85
33,47298,734.81,24104,756.91,23194,711.85
34,53373,752.82,27404,778.58,25969,725.64
35,62008,765.79,31924,791.79,30084,738.2
36,70240,783.32,36252,809.88,33988,754.98
37,73880,795.68,38664,822.58,35216,766.15
38,79086,807.58,41379,838.1,37707,774.08
39,86290,816.99,45300,850.18,40990,780.31
40,96042,827.99,50623,863.96,45419,787.9
41,108928,838.67,57148,876.61,51780,796.81
42,126531,850.19,66475,894.74,60056,800.89
43,135158,860.29,71202,907.72,63956,807.49
44,146312,872.48,77122,926.43,69190,812.34
45,160319,888.22,84646,945.53,75673,824.12
46,170316,899.97,90431,963.2,79885,828.39
47,182590,914.8,96579,987.28,86011,833.42
48,191298,929.11,101799,1005.13,89499,842.65
49,203469,940.57,107855,1025.28,95614,845
50,214704,955.47,113218,1046.28,101486,854.17
51,224462,972.04,118420,1071.45,106042,861.02
52,237319,986.76,125033,1093.84,112286,867.52
53,244652,999.87,128617,1115.01,116035,872.24
54,255173,1012.37,133948,1135.35,121225,876.49
55,268074,1028.71,141955,1159.91,126119,881.04
56,280408,1043.16,150391,1179.54,130017,885.42
57,301930,1055.16,162844,1200.38,139086,885.13
58,319223,1068.55,171826,1225.23,147397,885.89
59,346791,1082.48,187886,1250.33,158905,884.01
60,330619,1085.06,178875,1262.15,151744,876.31
61,301078,1082.23,163884,1264.32,137194,864.71
62,318974,1091.98,174369,1282.25,144605,862.55
63,334425,1098.47,183111,1294.6,151314,861.13
64,318476,1091.86,175520,1289.69,142956,848.98
65 & over,196320,1086.27,110011,1282.73,86309,835.87
Total,6811679,977.86,3646650,1097.71,3165029,839.77
