Age,Number,Averageamount,Number_male,Averageamount_male,Number_female,Averageamount_female
62,803816.00,1048.86,381209.00,1191.07,422607.00,920.58
63,1095262.00,1056.67,526722.00,1193.88,568540.00,929.55
64,1272441.00,1106.00,615583.00,1251.16,656858.00,969.95
65,1516866.00,1173.91,738188.00,1328.30,778678.00,1027.55
66,2639000.00,1324.40,1370105.00,1501.10,1268895.00,1133.61
67,2447629.00,1365.28,1280185.00,1548.91,1167444.00,1163.92
68,2048666.00,1349.72,1076941.00,1529.56,971725.00,1150.42
69,2050994.00,1356.87,1076153.00,1539.76,974841.00,1154.96
70,2151938.00,1382.72,1121974.00,1568.90,1029964.00,1179.91
71,2038264.00,1386.90,1062265.00,1574.86,975999.00,1182.32
72,1781537.00,1389.05,926773.00,1578.16,854764.00,1184.00
73,1633513.00,1373.66,849715.00,1557.85,783798.00,1173.98
74,1514593.00,1344.54,786667.00,1519.66,727926.00,1155.28
75,1459172.00,1328.70,757683.00,1498.76,701489.00,1145.02
76,1340218.00,1306.25,695865.00,1465.77,644353.00,1133.98
77,1237400.00,1262.69,641092.00,1403.91,596308.00,1110.85
78,1166319.00,1241.25,602037.00,1371.22,564282.00,1102.59
79,1079699.00,1237.78,556282.00,1360.86,523417.00,1106.96
80,972256.00,1243.40,497772.00,1364.87,474484.00,1115.96
81,939133.00,1261.20,476349.00,1386.65,462784.00,1132.06
82,869468.00,1250.97,438874.00,1365.36,430594.00,1134.38
83,825130.00,1249.50,413128.00,1358.50,412002.00,1140.21
84,734471.00,1249.50,360677.00,1352.54,373794.00,1150.07
85,682599.00,1265.09,327975.00,1373.19,354624.00,1165.12
86,621429.00,1274.40,292423.00,1380.35,329006.00,1180.23
87,545149.00,1263.07,250754.00,1354.08,294395.00,1185.55
88,479051.00,1277.10,213178.00,1371.85,265873.00,1201.13
89,419639.00,1260.80,182198.00,1338.34,237441.00,1201.31
90,348223.00,1251.08,148070.00,1312.04,200153.00,1205.97
91,287557.00,1251.74,118274.00,1300.66,169283.00,1217.57
92,240889.00,1253.76,96064.00,1290.40,144825.00,1229.45
93,184375.00,1254.16,70086.00,1274.09,114289.00,1241.94
94,132697.00,1272.90,47614.00,1299.93,85083.00,1257.77
95,103854.00,1318.78,35060.00,1381.22,68794.00,1286.95
96,75160.00,1341.12,23921.00,1437.61,51239.00,1296.07
97,52081.00,1414.67,15451.00,1574.79,36630.00,1347.12
98,36372.00,1382.85,10253.00,1552.98,26119.00,1316.07
99 & over,64165.00,1309.26,14966.00,1480.58,49199.00,1257.14
Total,37891025.00,1293.84,19098526.00,1451.27,18792499.00,1133.84
