Age,Number,Averageamount,Number_male,Averageamount_male,Number_female,Averageamount_female
20 & under,3479,432.35,2029,440.4,1450,421.09
21,4999,485.25,2961,498.5,2038,466
22,8963,518.48,5354,532.51,3609,497.65
23,13399,545.12,7953,556.38,5446,528.69
24,18209,575.06,10739,586.66,7470,558.39
25,23334,599.01,13358,613.08,9976,580.17
26,27794,625.77,15716,639.59,12078,607.79
27,31734,649.5,17659,663.53,14075,631.91
28,35838,676.85,19444,693.71,16394,656.86
29,37830,693.41,20390,710.2,17440,673.77
30,40790,712.62,21436,729.84,19354,693.55
31,42486,725.17,22270,742.5,20216,706.08
32,45040,740.1,23203,760.31,21837,718.63
33,48653,757.2,24913,780.69,23740,732.55
34,52607,767.57,26716,793.16,25891,741.16
35,59331,785.05,30164,813.15,29167,756
36,68544,797.21,34991,825.82,33553,767.38
37,77390,813.45,39572,843.58,37818,781.92
38,81560,826.63,42205,857.89,39355,793.1
39,86924,837.99,45147,873.14,41777,800.01
40,94604,847.12,49254,885.25,45350,805.7
41,105320,857.92,55084,899.02,50236,812.85
42,118969,867.85,61872,911.04,57097,821.05
43,137728,880.93,71777,930.67,65951,826.79
44,147019,890.39,76814,942.99,70205,832.85
45,158932,902.73,83034,962.35,75898,837.52
46,174052,918.13,91170,981.66,82882,848.25
47,184500,930.09,96969,999.44,87531,853.26
48,197609,945.4,103723,1023.94,93886,858.63
49,206625,960.29,109177,1042.87,97448,867.77
50,223015,973.04,117391,1064.92,105624,870.93
51,236738,987.83,123955,1085.81,112783,880.15
52,245280,1004.38,128504,1111.15,116776,886.89
53,258198,1019.45,135045,1133.49,123153,894.4
54,265251,1032.8,138435,1155.11,126816,899.28
55,280044,1048.43,146601,1179.65,133443,904.26
56,295634,1065.11,156193,1204.37,139441,909.12
57,305047,1079.16,162833,1223.28,142214,914.14
58,326844,1090.72,175576,1243.6,151268,913.28
59,343779,1104.38,184493,1268.71,159286,914.05
60,373432,1119.37,202087,1294.9,171345,912.35
61,354744,1122.06,191826,1306.01,162918,905.46
62,319786,1120.75,173998,1309.85,145788,895.07
63,329612,1125.32,179598,1322.11,150014,889.73
64,339510,1129,185282,1331.34,154228,885.91
65 & over,270179,1124.72,149003,1328.5,121176,874.15
Total,7101355,1004.11,3775914,1126.11,3325441,865.59
