Age,Number,Averageamount,Number_male,Averageamount_male,Number_female,Averageamount_female
20 & under,1307,472.12,784,473.38,523,470.23
21,2553,525.9,1554,528.59,999,521.72
22,5465,557.13,3213,563.97,2252,547.38
23,9576,595.94,5751,603.14,3825,585.11
24,14937,623.4,8895,636.53,6042,604.07
25,20448,651.23,12031,665.05,8417,631.48
26,25396,687.17,14690,703.85,10706,664.28
27,30938,717.48,17746,735.2,13192,693.65
28,36533,753.12,20740,772.86,15793,727.2
29,42064,779.18,23640,802.47,18424,749.31
30,47098,799.69,26231,820.75,20867,773.22
31,52189,825.43,28766,845.01,23423,801.38
32,58875,843.7,31878,866.78,26997,816.44
33,64170,865.08,34172,887.46,29998,839.59
34,70653,881.98,36856,903.54,33797,858.47
35,75393,900.75,38748,926.7,36645,873.3
36,78567,916.2,40160,941.64,38407,889.59
37,82922,933.72,41700,965.54,41222,901.53
38,84981,948.42,42652,982.82,42329,913.77
39,89877,959.11,44555,996.22,45322,922.63
40,96315,977.47,47356,1019.48,48959,936.84
41,103906,987.39,51228,1036.14,52678,939.98
42,115713,999.31,57080,1053.58,58633,946.48
43,133178,1013.81,65891,1070.49,67287,958.3
44,147136,1029.03,73026,1090.82,74110,968.15
45,152863,1040.2,76838,1105.09,76025,974.61
46,161536,1048.63,81488,1118,80048,978.01
47,173604,1056.79,87832,1130.92,85772,980.89
48,191065,1069.87,97114,1147,93951,990.14
49,214235,1079.7,108022,1162.26,106213,995.74
50,248088,1093.29,125115,1182.76,122973,1002.26
51,272922,1108.83,138008,1206.24,134914,1009.18
52,298815,1121.51,151097,1224.62,147718,1016.05
53,328193,1140.46,166521,1250.57,161672,1027.04
54,351048,1156.6,178567,1274.48,172481,1034.55
55,382589,1176.39,195842,1303.27,186747,1043.34
56,410110,1196.38,211286,1329.95,198824,1054.45
57,441644,1212.77,227726,1355.55,213918,1060.79
58,459765,1232.74,237521,1382.19,222244,1073.03
59,468440,1252.99,242380,1410.27,226060,1084.35
60,485856,1270.26,252262,1433.35,233594,1094.13
61,490086,1287.27,255256,1459.23,234830,1100.36
62,498887,1305.86,261639,1483.81,237248,1109.61
63,494157,1320.23,261509,1503.01,232648,1114.77
64,473611,1326.75,252289,1514.3,221322,1112.96
65,466814,1336.45,250020,1531.84,216794,1111.12
Total,8954518,1165.39,4627675,1290.2,4326843,1031.91
