* Thresholds for Part B premium sharing are given in nominal dollars, not constant dollars	
* Since the FEM uses constant 2010 dollars, we need to deflate thresholds after 2010	
* SInce we've just got one year for thresholds, we'll inflate them before 2010	
* Average urban CPI was 2.56% from 2000 to 2009, so that's what we use	
1990	354792.16
1991	345936.2
1992	337301.28
1993	328881.91
1994	320672.68
1995	312668.37
1996	304863.86
1997	297254.15
1998	289834.39
1999	282599.84
2000	275545.86
2001	268667.96
2002	261961.74
2003	255422.92
2004	249047.3
2005	242830.84
2006	236769.54
2007	230859.53
2008	225097.05
2009	219478.4
2010	214000
2011	208500.2
2012	203141.74
2013	197921
2014	192834.43
2015	187878.59
2016	183050.11
2017	178345.72
2018	173762.23
2019	169296.55
2020	169296.55
2021	169296.55
2022	169296.55
2023	169296.55
2024	169296.55
2025	169296.55
2026	169296.55
2027	169296.55
2028	169296.55
2029	169296.55
2030	169296.55
2031	169296.55
2032	169296.55
2033	169296.55
2034	169296.55
2035	169296.55
2036	169296.55
2037	169296.55
2038	169296.55
2039	169296.55
2040	169296.55
2041	169296.55
2042	169296.55
2043	169296.55
2044	169296.55
2045	169296.55
2046	169296.55
2047	169296.55
2048	169296.55
2049	169296.55
2050	169296.55
2051	169296.55
2052	169296.55
2053	169296.55
2054	169296.55
2055	169296.55
2056	169296.55
2057	169296.55
2058	169296.55
2059	169296.55
2060	169296.55
2061	169296.55
2062	169296.55
2063	169296.55
2064	169296.55
2065	169296.55
2066	169296.55
2067	169296.55
2068	169296.55
2069	169296.55
2070	169296.55
2071	169296.55
2072	169296.55
2073	169296.55
2074	169296.55
2075	169296.55
2076	169296.55
2077	169296.55
2078	169296.55
2079	169296.55
2080	169296.55
2081	169296.55
2082	169296.55
2083	169296.55
2084	169296.55
2085	169296.55
2086	169296.55
2087	169296.55
2088	169296.55
2089	169296.55
2090	169296.55
2091	169296.55
2092	169296.55
2093	169296.55
2094	169296.55
2095	169296.55
2096	169296.55
2097	169296.55
2098	169296.55
2099	169296.55
2100	169296.55
2101	169296.55
2102	169296.55
2103	169296.55
2104	169296.55
2105	169296.55
2106	169296.55
2107	169296.55
2108	169296.55
2109	169296.55
2110	169296.55
2111	169296.55
2112	169296.55
2113	169296.55
2114	169296.55
2115	169296.55
2116	169296.55
2117	169296.55
2118	169296.55
2119	169296.55
2120	169296.55
2121	169296.55
2122	169296.55
2123	169296.55
2124	169296.55
2125	169296.55
2126	169296.55
2127	169296.55
2128	169296.55
2129	169296.55
2130	169296.55
2131	169296.55
2132	169296.55
2133	169296.55
2134	169296.55
2135	169296.55
2136	169296.55
2137	169296.55
2138	169296.55
2139	169296.55
2140	169296.55
2141	169296.55
2142	169296.55
2143	169296.55
2144	169296.55
2145	169296.55
2146	169296.55
2147	169296.55
2148	169296.55
2149	169296.55
2150	169296.55
