* Thresholds for Part B premium sharing are given in nominal dollars, not constant dollars	
* Since the FEM uses constant 2010 dollars, we need to deflate thresholds after 2010	
* SInce we've just got one year for thresholds, we'll inflate them before 2010	
* Average urban CPI was 2.56% from 2000 to 2009, so that's what we use	
1990	177396.08
1991	172968.1
1992	168650.64
1993	164440.95
1994	160336.34
1995	156334.19
1996	152431.93
1997	148627.08
1998	144917.2
1999	141299.92
2000	137772.93
2001	134333.98
2002	130980.87
2003	127711.46
2004	124523.65
2005	121415.42
2006	118384.77
2007	115429.77
2008	112548.52
2009	109739.2
2010	107000
2011	104250.1
2012	101570.87
2013	98960.5
2014	96417.22
2015	93939.29
2016	91525.05
2017	89172.86
2018	86881.12
2019	84648.27
2020	84648.27
2021	84648.27
2022	84648.27
2023	84648.27
2024	84648.27
2025	84648.27
2026	84648.27
2027	84648.27
2028	84648.27
2029	84648.27
2030	84648.27
2031	84648.27
2032	84648.27
2033	84648.27
2034	84648.27
2035	84648.27
2036	84648.27
2037	84648.27
2038	84648.27
2039	84648.27
2040	84648.27
2041	84648.27
2042	84648.27
2043	84648.27
2044	84648.27
2045	84648.27
2046	84648.27
2047	84648.27
2048	84648.27
2049	84648.27
2050	84648.27
2051	84648.27
2052	84648.27
2053	84648.27
2054	84648.27
2055	84648.27
2056	84648.27
2057	84648.27
2058	84648.27
2059	84648.27
2060	84648.27
2061	84648.27
2062	84648.27
2063	84648.27
2064	84648.27
2065	84648.27
2066	84648.27
2067	84648.27
2068	84648.27
2069	84648.27
2070	84648.27
2071	84648.27
2072	84648.27
2073	84648.27
2074	84648.27
2075	84648.27
2076	84648.27
2077	84648.27
2078	84648.27
2079	84648.27
2080	84648.27
2081	84648.27
2082	84648.27
2083	84648.27
2084	84648.27
2085	84648.27
2086	84648.27
2087	84648.27
2088	84648.27
2089	84648.27
2090	84648.27
2091	84648.27
2092	84648.27
2093	84648.27
2094	84648.27
2095	84648.27
2096	84648.27
2097	84648.27
2098	84648.27
2099	84648.27
2100	84648.27
2101	84648.27
2102	84648.27
2103	84648.27
2104	84648.27
2105	84648.27
2106	84648.27
2107	84648.27
2108	84648.27
2109	84648.27
2110	84648.27
2111	84648.27
2112	84648.27
2113	84648.27
2114	84648.27
2115	84648.27
2116	84648.27
2117	84648.27
2118	84648.27
2119	84648.27
2120	84648.27
2121	84648.27
2122	84648.27
2123	84648.27
2124	84648.27
2125	84648.27
2126	84648.27
2127	84648.27
2128	84648.27
2129	84648.27
2130	84648.27
2131	84648.27
2132	84648.27
2133	84648.27
2134	84648.27
2135	84648.27
2136	84648.27
2137	84648.27
2138	84648.27
2139	84648.27
2140	84648.27
2141	84648.27
2142	84648.27
2143	84648.27
2144	84648.27
2145	84648.27
2146	84648.27
2147	84648.27
2148	84648.27
2149	84648.27
2150	84648.27
