
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)"
="l2drinkd4",="",="-0.201*",="-0.0539",="0.0992",="",="0.188",="",="",="",="-0.242",="0.229",="",="",="",="",="",=""
="",="",="(-2.24)",="(-0.81)",="(1.38)",="",="(1.83)",="",="",="",="(-1.74)",="(1.14)",="",="",="",="",="",=""

="l2hibpe",="",="0.253***",="0.295***",="",="",="0.259***",="0.131***",="-0.0253",="0.00956",="",="",="",="",="",="-0.0192",="",="0.0290"
="",="",="(4.43)",="(6.53)",="",="",="(3.73)",="(3.32)",="(-0.41)",="(0.20)",="",="",="",="",="",="(-0.59)",="",="(0.99)"

="l2psyche",="",="0.0878",="",="",="",="",="",="",="",="",="",="-0.326***",="",="",="-0.0255",="",="-0.0348"
="",="",="(1.00)",="",="",="",="",="",="",="",="",="",="(-7.91)",="",="",="(-0.50)",="",="(-0.78)"

="l2diabe",="",="",="-0.0397",="0.0868",="",="0.128",="0.0135",="0.0266",="0.205**",="",="0",="",="",="",="-0.126*",="",="0.00398"
="",="",="",="(-0.54)",="(0.91)",="",="(1.30)",="(0.20)",="(0.26)",="(3.11)",="",="(.)",="",="",="",="(-2.07)",="",="(0.08)"

="l2hearte",="",="",="",="",="",="0.104",="0.0493",="-0.0297",="0.258***",="",="",="",="",="",="-0.0536",="",="-0.00948"
="",="",="",="",="",="",="(1.33)",="(0.94)",="(-0.37)",="(5.11)",="",="",="",="",="",="(-1.15)",="",="(-0.25)"

="l2cancre",="",="",="",="",="",="-0.0232",="",="0.180*",="0.377***",="",="",="",="",="",="0.0230",="",="0.0337"
="",="",="",="",="",="",="(-0.22)",="",="(2.01)",="(5.95)",="",="",="",="",="",="(0.40)",="",="(0.71)"

="l2stroke",="",="",="",="",="",="",="0.0228",="0.295*",="0.217**",="",="0",="",="",="",="-0.202",="",="-0.0941"
="",="",="",="",="",="",="",="(0.21)",="(2.19)",="(2.76)",="",="(.)",="",="",="",="(-1.60)",="",="(-1.26)"

="l2work",="",="",="",="",="",="",="-0.0860",="-0.156*",="",="",="",="",="-0.242**",="0.0474",="2.049***",="",="-0.731***"
="",="",="",="",="",="",="",="(-1.80)",="(-2.12)",="",="",="",="",="(-3.06)",="(0.61)",="(49.32)",="",="(-17.75)"

="l2lunge",="",="",="",="",="",="",="",="",="0.294***",="0.442***",="",="",="",="",="-0.178*",="",="0.000511"
="",="",="",="",="",="",="",="",="",="(4.01)",="(3.31)",="",="",="",="",="(-2.10)",="",="(0.01)"

="l2adl1",="",="",="",="",="",="",="",="",="0.276***",="",="",="",="0.0820",="0.0953",="-0.0876",="",="-0.107*"
="",="",="",="",="",="",="",="",="",="(4.37)",="",="",="",="(0.88)",="(0.94)",="(-1.33)",="",="(-2.10)"

="l2adl2",="",="",="",="",="",="",="",="",="0.180*",="",="",="",="0.245*",="0.113",="-0.144",="",="-0.0177"
="",="",="",="",="",="",="",="",="",="(2.03)",="",="",="",="(2.00)",="(0.78)",="(-1.21)",="",="(-0.23)"

="l2adl3p",="",="",="",="",="",="",="",="",="0.693***",="",="",="",="0.0166",="0.156",="-0.284",="",="-0.118"
="",="",="",="",="",="",="",="",="",="(9.80)",="",="",="",="(0.11)",="(1.06)",="(-1.84)",="",="(-1.41)"

="l2retemp",="",="",="",="",="",="",="",="",="",="",="",="",="-0.154",="0.185*",="-0.398***",="",="1.217***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(-1.91)",="(2.20)",="(-8.78)",="",="(33.54)"

="l2iadl1",="",="",="",="",="",="",="",="",="",="",="",="",="0.203*",="-0.136",="-0.176**",="",="-0.112*"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(2.31)",="(-1.40)",="(-2.70)",="",="(-2.24)"

="l2iadl2p",="",="",="",="",="",="",="",="",="",="",="",="",="0.0919",="-0.157",="-0.489***",="",="-0.267***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.79)",="(-1.34)",="(-4.15)",="",="(-4.16)"

="l2itearn",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.00000222",="",="-4.47e-08"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(1.43)",="",="(-0.03)"

="l2ipubpen",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.00000604",="",="0.00000883"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.94)",="",="(1.78)"

="l2atotf",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="1.07e-09",="",="2.54e-08"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.02)",="",="(0.43)"

="l2arthre",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0810*",="",="0.0527"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-2.30)",="",="(1.70)"

="l2parkine",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.228",="",="-0.297"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.87)",="",="(-1.63)"

="hearte",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.312***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(10.86)",=""

="stroke",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.469***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(8.12)",=""

="cancre",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.194***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(5.41)",=""

="hibpe",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0884***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(3.63)",=""

="diabe",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.126***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(3.33)",=""

="lunge",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.636***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(13.38)",=""

="logbmi",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.372***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(6.01)",=""

="adl1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.529***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(13.89)",=""

="adl2",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.843***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(13.08)",=""

="adl3p",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.923***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(11.28)",=""

="iadl1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.790***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(21.92)",=""

="iadl2p",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="1.103***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(20.20)",=""

="smokev",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.101***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(3.93)",=""

="smoken",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.132*",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(2.46)",=""

="smokef",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.00751*",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(2.19)",=""

="arthre",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.412***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(16.85)",=""

="psyche",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.482***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(13.20)",=""

="asthmae",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.158***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(4.59)",=""

="parkine",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.904***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(5.99)",=""

="drink",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.167***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-4.16)",=""

