hatotax,"Financial","\multicolumn{2}{|c}{financial wealth}","median","all non-zero wealth"
iearnx,"Resources","\multicolumn{2}{|c}{earnings} ","median","all working"
wlth_nonzero,"(\$USD 2004)","\multicolumn{2}{|c}{wealth positive} ","prevalence","all"
