,,,,,,,,,,,,,,,,,
Population estimates - local authority based by single year of age,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 11 July 2019],,,,,,,,,,,,,,,,,
Area Type  :,countries,,,,,,,,,,,,,,,,
Area Name  :,England,,,,,,,,,,,,,,,,
Gender     :,Male,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Age 54,354829,328384,317093,305817,302560,305585,308088,305134,314222,324806,335745,342607,349919,364134,377429,386544,395242
Age 55,374778,351781,326375,315304,304599,301354,303763,307396,304273,313516,324018,335003,341969,349338,363481,376570,385802
Age 56,304597,372844,349010,324287,313959,303561,299020,303183,306457,303305,312603,323117,334422,341409,348791,362743,375868
Age 57,297589,301600,371279,346333,322767,312712,301376,297884,302355,305403,302330,311639,322495,333803,340724,348012,362172
Age 58,290940,294864,299007,369940,344223,321356,310572,300309,296518,301455,304449,301386,310909,321841,333131,339958,347088
Age 59,277556,288747,292239,296324,368827,342186,318848,309305,299048,295038,300414,303496,300641,310270,321114,332289,339029
Age 60,250828,275800,287100,289389,293498,367027,339989,317116,307560,297457,293748,299317,302566,299840,309389,320036,331290
Age 61,235186,249379,273689,284874,286575,290511,365799,337662,315238,305710,296230,292505,298300,301716,298888,308186,318785
Age 62,245684,233144,247441,271115,282899,283686,288234,364507,335077,313305,304410,294972,291561,297305,300709,297833,306696
Age 63,246546,243626,230738,244912,268633,280710,281392,285741,362960,332459,311786,302809,293852,290531,296178,299251,296404
Age 64,243353,244477,241130,227732,242593,265915,279034,278980,283118,361362,330540,310164,301564,292647,289204,294725,298013
Age 65,237617,241052,241833,238540,223923,239978,263977,277303,276347,280482,358949,328499,308405,299998,290909,287362,292661
Age 66,231560,235011,238408,239220,235092,221056,238021,261638,275324,273585,278388,356306,326313,306150,297841,288766,285237
Age 67,224840,228872,232063,235649,235387,231801,218704,235853,259079,273394,271365,276213,353767,323972,303965,295558,286641
Age 68,216599,222127,225656,228919,231773,232286,229230,215981,233545,256467,270906,268893,273947,350805,321316,301479,293101
Age 69,216174,213520,218889,222342,224970,228365,229526,226381,213094,231079,253841,268208,266439,271426,347446,318376,298811
Age 70,217596,212621,210090,215624,218417,221444,225278,226501,223100,210047,228438,250949,265287,263503,268496,343813,315080
Age 71,219375,213805,208775,206576,211677,214685,218023,221932,223265,219818,207374,225686,248071,262068,260330,265418,339855
Age 72,215105,214972,209529,204603,202511,207888,211182,214415,218412,219848,216685,204484,222594,244725,258633,256729,261886
Age 73,207559,210314,210155,205146,199758,198331,204162,207248,210564,214700,216277,213191,201374,219236,240970,254673,252895
Age 74,199323,202349,205191,205116,200149,195013,194272,200019,203143,206560,211109,212541,209505,197850,215415,236916,250366
Age 75,196960,193672,196468,199735,199549,195144,190292,189793,195730,198752,202392,206900,208461,205465,194006,211173,232313
Age 76,193097,190447,187738,190387,193815,193739,190072,185208,185170,191159,194433,197895,202596,203832,201052,189779,206575
Age 77,187076,186014,183585,181453,183882,187779,187969,184630,179908,180146,186486,189512,193210,197446,198870,195995,184848
Age 78,182195,179548,178518,176547,174537,177369,181459,181782,178955,174360,174992,181068,184600,187780,192134,193303,190485
Age 79,177527,174034,171555,170641,169050,167607,170694,174774,175432,172787,168761,169170,175728,178815,182152,186151,187117
Age 80,177907,168621,165557,163336,162866,161330,160404,163397,167813,168522,166411,162529,163433,169178,172691,175762,179519
Age 81,178817,168156,159443,156676,154990,154701,153254,152654,155936,160681,161376,159404,156189,156542,162538,165831,168751
Age 82,166210,167659,157818,150160,147706,146246,146020,144937,145056,148184,152912,153448,152268,148746,149427,155135,158153
Age 83,118392,154219,155988,147373,140877,138704,137198,137232,136381,136864,140127,144542,145592,143927,141087,141751,147147
Age 84,95447,110124,141824,144441,136542,131025,129060,127902,128281,127404,128337,131209,136299,136326,135397,132666,133314
Age 85,97889,87127,101477,129279,132773,125799,121077,119203,118589,118928,118440,118975,122635,126611,127170,126155,123624
Age 86,94070,88293,78427,92859,116971,121020,114890,110806,109569,108907,109463,108857,110192,112679,116874,117361,116217
Age 87,90916,83810,78738,70255,84430,104704,109240,103821,100647,99659,99061,99578,99623,100078,102840,106540,106926
Age 88,80479,80023,73550,69508,62162,76449,92323,97281,93245,90656,89751,88999,90173,89128,90106,92589,95694
Age 89,69046,69670,69411,63631,60687,54369,68272,79998,85985,82648,80263,79135,79489,79462,79241,79852,81854
Aged 90+,253957,259463,263734,267916,268261,267427,258877,265139,282759,302611,316833,323097,334840,334623,340465,341906,341488
