,,,Total: NS-SeC,1.1 Large employers and higher managerial and administrative occupations,1.2 Higher professional occupations,"2. Lower managerial, administrative and professional occupations",3. Intermediate occupations,4. Small employers and own account workers,5. Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,L14.1 Never worked,L14.2 Long-term unemployed,L15 Full-time students
,Age 20 to 24,Total: Highest level of qualification,"1,784,917","7,005","42,443","234,348","277,047","31,387","70,954","325,084","149,141","117,700","32,278","497,530"
,,No Qualifications,"136,373",145,325,"4,484","7,451","3,095","4,086","30,019","23,930","48,153","5,679","9,006"
,,Level 1 qualifications,"226,379",602,"1,255","17,834","35,218","3,653","10,726","67,785","31,190","25,329","9,844","22,943"
,,Level 2 qualifications,"328,492","1,138","2,712","33,840","68,113","5,933","16,933","86,056","32,886","14,751","7,896","58,234"
,,Apprenticeship,"26,171",83,201,"2,352","6,271","1,524","2,435","5,211","5,740",420,595,"1,339"
,,Level 3 qualifications,"545,327","1,693","4,140","49,185","81,459","7,267","19,465","71,600","25,113","8,709","3,795","272,901"
,,Level 4 qualifications and above,"440,309","3,175","33,271","122,280","73,776","6,387","13,468","52,210","16,623","8,628","3,484","107,007"
,,Other qualifications,"81,866",169,539,"4,373","4,759","3,528","3,841","12,203","13,659","11,710",985,"26,100"
,Age 25 to 29,Total: Highest level of qualification,"1,830,345","23,782","147,896","474,054","341,692","63,896","82,325","288,750","142,975","115,328","39,278","110,369"
,,No Qualifications,"157,205",293,573,"6,718","9,349","5,006","5,496","34,918","30,697","52,508","7,263","4,384"
,,Level 1 qualifications,"207,294","1,148","2,310","24,510","40,188","6,264","11,623","57,978","28,867","17,420","10,079","6,907"
,,Level 2 qualifications,"283,042","2,381","5,549","47,148","75,662","11,013","17,110","69,121","26,109","8,227","8,920","11,802"
,,Apprenticeship,"13,117",61,175,"1,834","2,770","1,450","1,591","2,184","2,270",161,311,310
,,Level 3 qualifications,"280,691","3,624","7,994","66,144","81,700","12,752","17,405","48,183","15,640","4,109","4,216","18,924"
,,Level 4 qualifications and above,"766,154","15,563","128,096","313,953","120,253","18,668","20,899","53,737","16,957","12,515","6,358","59,155"
,,Other qualifications,"122,842",712,"3,199","13,747","11,770","8,743","8,201","22,629","22,435","20,388","2,131","8,887"
,Age 30 to 34,Total: Highest level of qualification,"1,754,318","39,643","178,556","501,645","313,854","85,714","66,937","241,093","122,675","109,934","38,222","56,045"
,,No Qualifications,"153,262",315,606,"6,574","8,997","5,944","5,148","32,245","29,245","53,193","7,017","3,978"
,,Level 1 qualifications,"188,730","1,454","2,971","24,833","38,349","9,060","9,997","47,897","25,758","15,191","8,386","4,834"
,,Level 2 qualifications,"264,395","3,242","6,807","47,348","72,182","14,592","14,226","59,348","23,723","7,285","8,284","7,358"
,,Apprenticeship,"6,491",43,136,957,"1,047","1,111",696,"1,006","1,059",148,145,143
,,Level 3 qualifications,"258,468","4,764","10,128","65,421","77,701","16,409","13,748","40,026","12,542","3,804","4,370","9,555"
,,Level 4 qualifications and above,"767,195","28,721","153,374","340,978","102,301","28,683","16,445","40,593","12,398","10,707","7,359","25,636"
,,Other qualifications,"115,777","1,104","4,534","15,534","13,277","9,915","6,677","19,978","17,950","19,606","2,661","4,541"
,Age 35 to 39,Total: Highest level of qualification,"1,783,534","45,196","160,571","497,278","335,406","110,778","65,332","257,154","129,979","100,356","40,887","40,597"
,,No Qualifications,"178,734",466,693,"8,709","11,126","7,717","6,581","39,609","36,621","54,986","8,326","3,900"
,,Level 1 qualifications,"259,954","2,826","4,806","37,736","63,373","15,963","13,002","62,543","32,387","13,048","9,487","4,783"
,,Level 2 qualifications,"301,943","4,400","8,592","55,747","86,758","21,111","15,326","64,852","24,395","6,307","8,314","6,141"
,,Apprenticeship,"8,138",89,133,921,"1,202","1,888",855,"1,242","1,364",119,193,132
,,Level 3 qualifications,"233,810","4,714","9,337","57,835","71,118","18,547","11,526","36,116","10,298","3,112","4,003","7,204"
,,Level 4 qualifications and above,"705,134","31,709","133,359","323,214","90,379","36,858","13,072","35,451","10,142","7,451","8,052","15,447"
,,Other qualifications,"95,821",992,"3,651","13,116","11,450","8,694","4,970","17,341","14,772","15,333","2,512","2,990"
,Age 40 to 44,Total: Highest level of qualification,"1,962,493","48,556","141,870","519,053","402,236","137,188","77,912","314,386","154,960","90,316","43,172","32,844"
,,No Qualifications,"221,218",749,913,"12,077","15,357","11,071","9,220","53,297","49,433","55,990","9,648","3,463"
,,Level 1 qualifications,"387,945","4,829","7,579","60,793","101,801","27,337","19,952","93,181","45,695","10,700","11,202","4,876"
,,Level 2 qualifications,"378,349","6,507","11,400","73,886","115,524","28,317","19,272","79,119","26,246","4,840","8,105","5,133"
,,Apprenticeship,"14,301",118,182,"1,638","2,047","4,233","1,162","2,294","2,087",126,264,150
,,Level 3 qualifications,"240,901","5,163","9,368","61,686","74,967","20,242","12,036","36,999","8,808","2,273","3,637","5,722"
,,Level 4 qualifications and above,"634,731","30,249","109,803","297,501","81,734","38,216","11,675","32,167","9,006","4,900","7,909","11,571"
,,Other qualifications,"85,048",941,"2,625","11,472","10,806","7,772","4,595","17,329","13,685","11,487","2,407","1,929"
,Age 45 to 49,Total: Highest level of qualification,"1,960,057","49,372","122,788","517,251","407,576","139,313","81,081","345,147","164,544","75,442","36,304","21,239"
,,No Qualifications,"259,946",965,"1,093","15,960","19,458","14,563","12,407","68,599","63,593","51,630","9,175","2,503"
,,Level 1 qualifications,"401,389","5,281","7,069","62,460","107,680","28,925","21,393","102,617","46,242","7,455","9,133","3,134"
,,Level 2 qualifications,"378,658","6,648","10,402","74,237","118,709","27,946","19,176","84,253","24,173","3,422","6,373","3,319"
,,Apprenticeship,"15,510",128,221,"1,813","2,336","4,307","1,242","2,873","2,173",96,200,121
,,Level 3 qualifications,"230,570","5,282","8,732","59,597","72,848","19,503","11,659","37,510","7,583","1,618","2,855","3,383"
,,Level 4 qualifications and above,"597,917","30,265","93,455","292,976","76,507","36,963","10,516","31,690","7,861","3,379","6,618","7,687"
,,Other qualifications,"76,067",803,"1,816","10,208","10,038","7,106","4,688","17,605","12,919","7,842","1,950","1,092"
,Age 50 to 54,Total: Highest level of qualification,"1,712,366","38,871","94,180","441,009","356,683","123,268","72,233","325,228","162,446","62,556","25,998","9,894"
,,No Qualifications,"316,554","1,330","1,399","21,040","30,523","19,513","16,449","89,451","81,835","45,806","7,687","1,521"
,,Level 1 qualifications,"317,428","4,018","5,452","49,417","92,633","23,395","16,235","80,627","34,322","4,428","5,592","1,309"
,,Level 2 qualifications,"306,552","5,280","7,929","57,659","98,372","22,936","15,031","72,394","19,062","2,220","4,335","1,334"
,,Apprenticeship,"15,286",134,160,"1,661","2,285","3,639","1,267","3,416","2,413",82,171,58
,,Level 3 qualifications,"182,901","4,240","6,710","47,020","58,105","15,316","9,520","31,650","5,850","1,125","1,982","1,383"
,,Level 4 qualifications and above,"495,360","23,057","71,109","253,642","62,534","31,008","8,673","28,231","6,217","2,480","4,702","3,707"
,,Other qualifications,"78,285",812,"1,421","10,570","12,231","7,461","5,058","19,459","12,747","6,415","1,529",582
,Age 55 to 59,Total: Highest level of qualification,"1,515,247","28,800","73,122","373,952","319,888","111,765","62,207","305,955","160,403","55,443","19,527","4,185"
,,No Qualifications,"401,761","1,989","1,931","27,975","50,482","26,265","20,711","120,144","101,917","42,622","6,805",920
,,Level 1 qualifications,"219,058","3,094","3,792","33,893","73,194","16,788","9,820","52,326","19,565","2,816","3,335",435
,,Level 2 qualifications,"239,533","3,929","5,524","43,545","80,073","18,425","10,968","57,749","14,213","1,605","2,956",546
,,Apprenticeship,"16,767",149,158,"1,779","2,381","3,558","1,375","4,107","2,960",89,168,43
,,Level 3 qualifications,"134,249","3,002","4,807","33,885","42,634","11,718","6,848","24,255","4,338",859,"1,411",492
,,Level 4 qualifications and above,"415,074","15,619","55,486","220,134","52,533","26,927","6,990","24,936","5,358","2,127","3,498","1,466"
,,Other qualifications,"88,805","1,018","1,424","12,741","18,591","8,084","5,495","22,438","12,052","5,325","1,354",283
,Age 60 to 64,Total: Highest level of qualification,"1,615,137","24,239","58,307","361,144","357,659","120,661","69,320","354,214","202,403","59,431","5,174","2,585"
,,No Qualifications,"580,734","3,092","2,637","41,167","86,226","37,881","30,914","181,959","147,896","46,561","1,516",885
,,Level 1 qualifications,"209,280","3,009","3,406","32,432","76,654","16,562","8,793","47,994","16,831","2,630",720,249
,,Level 2 qualifications,"224,572","3,761","4,712","40,590","82,244","17,761","9,567","50,899","12,242","1,721",751,324
,,Apprenticeship,"23,126",191,215,"2,261","3,097","4,971","2,154","5,450","4,514",177,67,29
,,Level 3 qualifications,"102,485","2,248","3,528","26,167","33,098","9,291","5,306","17,709","3,641",874,403,220
,,Level 4 qualifications and above,"363,796","10,555","42,017","201,668","46,648","24,886","5,873","22,484","5,247","2,423","1,293",702
,,Other qualifications,"111,144","1,383","1,792","16,859","29,692","9,309","6,713","27,719","12,032","5,045",424,176
,Age 65 to 69,Total: Highest level of qualification,"1,290,189","14,760","34,652","261,960","282,734","93,789","59,391","291,692","188,816","58,946","1,571","1,878"
,,No Qualifications,"596,314","2,972","2,376","41,629","93,891","36,824","33,101","184,944","151,663","47,693",458,763
,,Level 1 qualifications,"141,699","1,823","2,067","22,341","53,731","11,528","5,871","31,135","10,495","2,291",199,218
,,Level 2 qualifications,"150,565","2,425","2,990","29,173","59,150","12,899","5,938","28,474","7,301","1,744",214,257
,,Apprenticeship,"19,574",141,165,"1,845","2,508","3,915","2,151","4,384","4,279",149,10,27
,,Level 3 qualifications,"55,242","1,232","1,786","14,555","17,775","5,390","2,776","8,494","2,201",777,110,146
,,Level 4 qualifications and above,"236,097","5,047","23,935","137,970","28,592","15,932","4,083","13,880","3,796","2,083",443,336
,,Other qualifications,"90,698","1,120","1,333","14,447","27,087","7,301","5,471","20,381","9,081","4,209",137,131
,Age 70 to 74,Total: Highest level of qualification,"1,076,176","8,809","21,999","203,689","230,261","67,419","52,097","242,640","179,801","67,381",588,"1,492"
,,No Qualifications,"607,977","2,578","2,263","41,917","99,703","32,772","34,439","180,124","155,905","57,282",230,764
,,Level 1 qualifications,"92,458","1,006","1,192","14,735","37,186","7,042","3,778","18,750","6,570","2,013",54,132
,,Level 2 qualifications,"97,109","1,326","1,881","19,667","40,801","8,187","3,754","15,257","4,328","1,702",83,123
,,Apprenticeship,"10,974",72,79,"1,065","1,451","1,867","1,373","2,431","2,453",159,5,19
,,Level 3 qualifications,"29,298",566,932,"7,840","9,758","2,853","1,535","3,856","1,173",675,24,86
,,Level 4 qualifications and above,"169,830","2,520","14,762","107,465","19,116","9,687","2,845","8,680","2,593","1,783",136,243
,,Other qualifications,"68,530",741,890,"11,000","22,246","5,011","4,373","13,542","6,779","3,767",56,125
,Age 75 or over,Total: Highest level of qualification,"2,449,325","13,560","38,037","396,142","537,249","124,698","122,810","500,771","420,304","290,989",654,"4,111"
,,No Qualifications,"1,669,566","5,698","5,775","110,098","303,832","78,503","93,685","422,694","385,333","261,313",321,"2,314"
,,Level 1 qualifications,"88,904",717,980,"13,667","36,580","5,641","3,820","15,373","6,831","4,976",49,270
,,Level 2 qualifications,"184,179","2,082","3,037","37,375","87,671","12,680","6,527","20,972","6,436","6,920",64,415
,,Apprenticeship,"19,427",147,167,"1,954","2,736","2,712","2,814","4,340","4,018",489,6,44
,,Level 3 qualifications,"45,673",676,"1,320","12,374","16,873","3,660","2,187","4,476","1,631","2,187",36,253
,,Level 4 qualifications and above,"299,283","3,015","24,953","196,303","34,555","12,608","5,127","11,929","4,457","5,615",133,588
,,Other qualifications,"142,293","1,225","1,805","24,371","55,002","8,894","8,650","20,987","11,598","9,489",45,227
,,,,,,,,,,,,,,
Created 22 June 2015,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Advisory note:,,,,,,,,,,,,,,
"1. ‘Highest level of qualification' has been split into four levels, plus categories for ‘Apprenticeship’ ‘Other' and ‘None’: No qualifications; Level 1: 1-4 O Levels/CSE/GCSEs (any grades), Entry Level, Foundation Diploma, NVQ Level 1, Foundation GNVQ, Basic/Essential Skills; Level 2: 5+ O Level (Passes)/CSEs (Grade 1)/GCSEs (Grades A*-C), School Certificate, 1 A Level/ 2-3 AS Levels/VCEs, Intermediate/Higher Diploma, Welsh Baccalaureate Intermediate Diploma, NVQ level 2, Intermediate GNVQ, City and Guilds Craft, BTEC First/General Diploma, RSA Diploma; Apprenticeship; Level 3: 2+ A Levels/VCEs, 4+ AS Levels, Higher School Certificate, Progression/Advanced Diploma, Welsh Baccalaureate Advanced Diploma, NVQ Level 3; Advanced GNVQ, City and Guilds Advanced Craft, ONC, OND, BTEC National, RSA Advanced Diploma; Level 4 and above: Degree (for example BA, BSc), Higher Degree (for example MA, PhD, PGCE), NVQ Level 4-5, HNC, HND, RSA Higher Diploma, BTEC Higher level, Foundation degree (NI), Professional qualifications (for example teaching, nursing, accountancy); Other qualifications: Vocational/Work-related Qualifications, Foreign Qualifications (not stated/level unknown). ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Copyright,,,,,,,,,,,,,,
Terms and Conditions  ,,,,,,,,,,,,,,
1. All material on the Office for National Statistics (ONS) website is subject to Crown Copyright protection unless otherwise indicated.    ,,,,,,,,,,,,,,
"2. These statistics may be used, excluding logos, under the terms of the Open Government Licence.     ",,,,,,,,,,,,,,
http://www.nationalarchives.gov.uk/doc/open-government-licence/,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Source: Office for National Statistics   © Crown Copyright 2015,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Statistical Disclosure Control,,,,,,,,,,,,,,
"In order to protect against disclosure of personal information, records have been swapped between different geographic areas.",,,,,,,,,,,,,,
"Some counts will be affected, particularly small counts at the lowest geographies.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
More details on the ONS Census disclosure control strategy may be found at:,,,,,,,,,,,,,,
http://www.ons.gov.uk/ons/guide-method/census/2011/census-data/2011-census-prospectus/new-developments-for-2011-census-results/statistical-disclosure-control/index.html,,,,,,,,,,,,,,
