,,,Total: NS-SeC,1.1 Large employers and higher managerial and administrative occupations,1.2 Higher professional occupations,"2. Lower managerial, administrative and professional occupations",3. Intermediate occupations,4. Small employers and own account workers,5. Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,L14.1 Never worked,L14.2 Long-term unemployed,L15 Full-time students
,,Other qualifications,"202,151","2,929","7,291","25,930","16,042","33,435","20,297","34,496","37,827","14,533","5,613","3,758"
,Age 45 to 49,Total: Highest level of qualification,"3,879,815","134,642","354,141","943,455","523,534","467,119","277,026","535,153","414,399","113,125","81,047","36,174"
,,No Qualifications,"545,198","3,373","3,452","33,763","26,371","73,643","39,187","115,213","142,849","79,956","22,962","4,429"
,,Level 1 qualifications,"741,330","13,477","18,680","118,864","132,286","97,316","61,786","152,809","112,061","10,446","18,352","5,253"
,,Level 2 qualifications,"643,501","15,196","25,269","129,407","142,418","78,479","52,343","116,238","61,191","5,007","12,765","5,188"
,,Apprenticeship,"132,994","4,078","5,155","19,195","8,500","36,607","26,311","13,896","16,522",252,"1,801",677
,,Level 3 qualifications,"446,024","14,919","27,282","115,402","91,862","59,594","43,248","54,983","24,586","2,451","6,591","5,106"
,,Level 4 qualifications and above,"1,189,717","80,896","268,957","504,012","107,770","91,170","35,171","48,658","21,206","4,824","13,823","13,230"
,,Other qualifications,"181,051","2,703","5,346","22,812","14,327","30,310","18,980","33,356","35,984","10,189","4,753","2,291"
,Age 50 to 54,Total: Highest level of qualification,"3,400,095","111,406","295,307","798,022","459,605","415,365","248,501","500,460","396,287","89,493","67,036","18,613"
,,No Qualifications,"622,916","4,107","4,138","40,568","39,120","82,303","46,879","143,117","171,685","66,701","21,293","3,005"
,,Level 1 qualifications,"556,187","9,925","14,735","89,988","112,513","70,975","43,322","115,884","78,319","6,031","12,110","2,385"
,,Level 2 qualifications,"510,345","11,674","20,011","99,187","117,477","61,755","39,753","97,611","47,909","3,075","9,614","2,279"
,,Apprenticeship,"155,505","4,440","5,599","20,915","10,147","39,052","31,764","18,183","22,163",226,"2,518",498
,,Level 3 qualifications,"374,785","13,138","23,396","93,665","75,014","51,192","38,889","47,798","22,022","1,669","5,644","2,358"
,,Level 4 qualifications and above,"1,003,415","65,570","223,229","431,643","88,765","81,238","29,076","43,381","18,341","3,537","11,801","6,834"
,,Other qualifications,"176,942","2,552","4,199","22,056","16,569","28,850","18,818","34,486","35,848","8,254","4,056","1,254"
,Age 55 to 59,Total: Highest level of qualification,"2,996,992","87,826","250,264","676,718","412,999","368,608","214,999","466,299","377,283","75,297","57,935","8,764"
,,No Qualifications,"737,648","5,438","5,262","50,993","61,408","95,205","54,002","180,888","203,447","58,489","20,565","1,951"
,,Level 1 qualifications,"367,137","7,273","10,872","61,891","88,502","45,574","24,362","72,962","43,592","3,700","7,514",895
,,Level 2 qualifications,"393,536","8,834","14,920","74,029","95,462","47,808","28,660","77,385","36,018","2,112","7,304","1,004"
,,Apprenticeship,"164,163","4,438","5,817","20,716","11,325","38,682","34,059","20,988","24,524",226,"3,060",328
,,Level 3 qualifications,"291,751","9,873","18,292","70,448","57,142","41,021","31,489","38,053","18,370","1,201","4,901",961
,,Level 4 qualifications and above,"857,024","49,230","191,024","374,368","75,721","71,914","22,957","38,877","16,472","2,919","10,569","2,973"
,,Other qualifications,"185,733","2,740","4,077","24,273","23,439","28,404","19,470","37,146","34,860","6,650","4,022",652
,Age 60 to 64,Total: Highest level of qualification,"3,172,277","84,787","236,135","669,903","454,585","399,741","229,573","529,091","453,536","78,658","30,633","5,635"
,,No Qualifications,"1,026,332","8,643","7,682","75,670","103,809","129,848","77,955","263,834","285,108","62,107","9,857","1,819"
,,Level 1 qualifications,"336,899","7,393","10,602","59,488","91,282","41,031","19,795","64,355","36,090","3,319","3,020",524
,,Level 2 qualifications,"356,147","8,580","13,499","68,223","96,024","42,741","23,680","66,899","30,608","2,146","3,123",624
,,Apprenticeship,"194,344","5,063","6,202","24,031","12,233","48,299","38,771","24,662","31,527",366,"2,921",269
,,Level 3 qualifications,"242,330","8,726","15,770","58,469","45,476","35,635","26,598","30,093","17,020","1,208","2,880",455
,,Level 4 qualifications and above,"798,236","42,719","177,526","352,679","69,810","70,492","20,284","36,381","16,881","3,241","6,683","1,540"
,,Other qualifications,"217,989","3,663","4,854","31,343","35,951","31,695","22,490","42,867","36,302","6,271","2,149",404
,Age 65 to 69,Total: Highest level of qualification,"2,508,154","63,000","166,793","493,322","354,867","314,105","200,372","432,198","396,837","77,028","5,535","4,097"
,,No Qualifications,"1,038,543","9,018","7,869","78,864","113,077","126,011","87,358","264,497","286,575","62,156","1,567","1,551"
,,Level 1 qualifications,"227,180","5,384","7,246","42,995","63,966","28,086","13,478","40,955","21,240","2,912",508,410
,,Level 2 qualifications,"234,680","6,266","9,261","49,963","68,399","28,956","14,645","37,214","16,788","2,154",505,529
,,Apprenticeship,"161,397","4,514","5,083","20,520","9,418","38,175","35,934","20,278","26,471",469,357,178
,,Level 3 qualifications,"142,598","6,151","10,305","36,160","25,191","21,578","16,506","15,406","9,391","1,065",477,368
,,Level 4 qualifications and above,"530,607","28,437","122,917","238,081","42,667","46,192","13,735","22,401","10,850","2,858","1,672",797
,,Other qualifications,"173,149","3,230","4,112","26,739","32,149","25,107","18,716","31,447","25,522","5,414",449,264
,Age 70 to 74,Total: Highest level of qualification,"2,044,129","44,621","120,319","378,819","286,746","230,434","181,994","359,376","350,708","85,952","2,130","3,030"
,,No Qualifications,"1,021,876","8,170","7,493","77,129","119,111","106,914","93,705","256,572","278,643","72,079",674,"1,386"
,,Level 1 qualifications,"148,745","3,476","4,615","29,398","44,420","17,326","9,362","24,770","12,451","2,532",162,233
,,Level 2 qualifications,"151,881","4,125","6,327","34,317","47,118","18,582","9,706","19,903","9,241","2,149",176,237
,,Apprenticeship,"130,476","3,605","4,288","17,305","7,230","28,252","32,829","15,331","20,824",548,137,127
,,Level 3 qualifications,"86,222","4,174","6,816","22,537","14,463","12,916","11,101","7,620","5,243",934,141,277
,,Level 4 qualifications and above,"374,693","18,714","87,677","177,531","27,938","28,792","9,843","13,593","6,802","2,622",654,527
,,Other qualifications,"130,236","2,357","3,103","20,602","26,466","17,652","15,448","21,587","17,504","5,088",186,243
,Age 75 or over,Total: Highest level of qualification,"4,108,246","76,742","205,322","716,340","655,510","351,947","382,054","695,423","677,983","338,073","1,806","7,046"
,,No Qualifications,"2,518,451","20,485","20,060","206,277","362,223","203,083","242,457","570,730","588,339","300,362",782,"3,653"
,,Level 1 qualifications,"137,280","2,933","3,880","26,664","43,313","13,027","9,543","20,190","11,174","5,966",135,455
,,Level 2 qualifications,"283,490","8,537","11,738","70,026","102,431","28,276","15,944","26,601","11,274","7,866",150,647
,,Apprenticeship,"185,675","5,498","6,242","27,580","10,888","32,543","53,591","20,118","27,637","1,266",98,214
,,Level 3 qualifications,"116,995","5,755","9,729","33,642","23,787","14,150","13,447","8,131","5,040","2,711",95,508
,,Level 4 qualifications and above,"616,887","28,462","146,752","306,394","48,582","34,860","16,558","17,270","8,947","7,554",400,"1,108"
,,Other qualifications,"249,468","5,072","6,921","45,757","64,286","26,008","30,514","32,383","25,572","12,348",146,461
Males,Total: Age,Total: Highest level of qualification,"19,566,077","658,755","2,204,627","4,020,860","1,381,409","2,786,326","2,116,495","2,148,122","2,646,767","471,259","374,323","757,134"
,,No Qualifications,"4,016,356","45,286","45,580","312,388","166,751","710,873","481,572","701,349","1,106,015","303,452","110,590","32,500"
,,Level 1 qualifications,"2,386,058","50,117","83,240","389,617","206,078","394,861","268,234","375,799","439,521","53,139","76,021","49,431"
,,Level 2 qualifications,"2,393,435","62,048","121,436","477,998","250,609","369,706","294,620","320,487","324,219","31,630","57,773","82,909"
,,Apprenticeship,"1,275,449","34,868","44,033","167,379","68,911","300,079","307,282","136,101","192,221","3,675","14,784","6,116"
,,Level 3 qualifications,"2,403,129","74,548","160,033","519,273","228,849","324,888","350,052","212,518","186,064","19,382","33,876","293,646"
,,Level 4 qualifications and above,"5,834,283","369,809","1,705,657","1,995,501","395,392","450,307","234,990","216,967","141,929","28,619","57,885","237,227"
,,Other qualifications,"1,257,367","22,079","44,648","158,704","64,819","235,612","179,745","184,901","256,798","31,362","23,394","55,305"
,Age 20 to 24,Total: Highest level of qualification,"1,810,404","10,758","64,532","205,071","155,272","92,632","169,037","253,889","223,478","98,076","43,205","494,454"
,,No Qualifications,"158,908",353,598,"5,513","5,029","11,445","9,692","26,084","37,221","40,001","10,806","12,166"
,,Level 1 qualifications,"279,415","1,160","2,351","22,508","22,768","19,561","26,595","61,453","59,878","21,696","12,814","28,631"
,,Level 2 qualifications,"324,924","1,668","4,400","37,937","36,122","19,974","35,849","61,419","47,818","13,610","8,126","58,001"
,,Apprenticeship,"68,527",235,730,"4,682","5,067","8,816","20,108","9,391","15,189",773,"1,107","2,429"
,,Level 3 qualifications,"516,979","2,306","7,348","46,794","39,064","16,938","50,488","48,698","31,989","9,430","4,362","259,562"
,,Level 4 qualifications and above,"378,168","4,768","48,437","83,387","43,969","9,967","19,387","35,034","16,404","8,388","4,461","103,966"
,,Other qualifications,"83,483",268,668,"4,250","3,253","5,931","6,918","11,810","14,979","4,178","1,529","29,699"
,Age 25 to 29,Total: Highest level of qualification,"1,820,536","30,520","198,701","393,557","182,759","164,914","190,003","215,449","215,180","56,515","47,759","125,179"
,,No Qualifications,"168,457",526,"1,134","7,939","5,073","19,810","13,745","29,143","43,102","30,721","12,612","4,652"
,,Level 1 qualifications,"243,840","1,912","4,424","30,861","21,749","28,110","29,163","47,319","51,260","8,737","12,762","7,543"
,,Level 2 qualifications,"274,762","3,258","8,905","50,201","34,252","31,240","37,793","44,532","40,655","4,662","8,573","10,691"
,,Apprenticeship,"43,293",273,721,"3,914","2,904","9,400","10,998","5,101","8,194",246,892,650
,,Level 3 qualifications,"281,344","4,407","13,955","64,097","38,286","30,073","50,399","30,227","24,647","2,650","4,249","18,354"
,,Level 4 qualifications and above,"679,843","19,114","165,543","223,498","74,740","28,653","30,933","36,781","18,386","5,285","6,256","70,654"
,,Other qualifications,"128,997","1,030","4,019","13,047","5,755","17,628","16,972","22,346","28,936","4,214","2,415","12,635"
,Age 30 to 34,Total: Highest level of qualification,"1,754,903","49,104","253,367","424,735","144,964","206,024","174,221","176,733","189,947","44,409","41,244","50,155"
,,No Qualifications,"166,175",739,"1,366","8,652","4,497","25,293","15,796","27,862","41,689","26,426","11,092","2,763"
,,Level 1 qualifications,"216,040","2,940","6,059","32,236","17,493","33,156","27,053","36,285","42,297","5,614","9,399","3,508"
