| This is a comment (do not remove!)
male	age_elsa	year
1	50	1981	1.3140737750416311
1	51	1981	1.3181381034814388
1	52	1981	1.3208685714285715
1	53	1981	1.3220624433216737
1	54	1981	1.3222177256171592
1	55	1981	1.3215529182733705
1	56	1981	1.3207320423018816
1	57	1981	1.320057701956849
1	58	1981	1.3196114840737037
1	59	1981	1.3193456799770777
1	60	1981	1.3191830292014446
1	61	1981	1.3190547504735055
1	62	1981	1.3189918222873185
1	63	1981	1.3189006804772767
1	64	1981	1.3187990423096414
1	65	1981	1.318709468223087
1	66	1981	1.3185949730322561
1	67	1981	1.3184902931523612
1	68	1981	1.3183394559046422
1	69	1981	1.3181979677396432
1	70	1981	1.3180437126335391
1	71	1981	1.3178543954122666
1	72	1981	1.3176558690033697
1	73	1981	1.317421460628315
1	74	1981	1.3171784810701894
1	75	1981	1.3168847591818782
1	76	1981	1.3165614266925143
1	77	1981	1.3162067172950005
1	78	1981	1.3158064483101086
1	79	1981	1.3153639562882016
1	80	1981	1.3148621660692053
1	81	1981	1.3142770299935083
1	82	1981	1.3136123281462455
1	83	1981	1.3128388645620723
1	84	1981	1.3119661546026962
1	85	1981	1.3109808247113224
1	86	1981	1.3098853536223196
1	87	1981	1.3086783416794154
1	88	1981	1.3073405420854571
1	89	1981	1.305858373973081
1	90	1981	1.3042104730750355
1	91	1981	1.2847926673108871
1	92	1981	1.265615114472464
1	93	1981	1.246698529398443
1	94	1981	1.2280810690571524
1	95	1981	1.2098042836684704
1	96	1981	1.1919098087755087
1	97	1981	1.1742358470958076
1	98	1981	1.1569186937101223
1	99	1981	1.1400199630653796
1	100	1981	1.1236718704627588
1	50	1982	1.2992884896805774
1	51	1982	1.3026062704366224
1	52	1982	1.3047771428571429
1	53	1982	1.3056095349138488
1	54	1982	1.3056657223796033
1	55	1982	1.3051177417543334
1	56	1982	1.3044568053838759
1	57	1982	1.3039701455092825
1	58	1982	1.303642336809027
1	59	1982	1.3034565392930635
1	60	1982	1.3033745485853683
1	61	1982	1.3032638858300665
1	62	1982	1.3032059888522722
1	63	1982	1.3031234095493018
1	64	1982	1.3030355988186155
1	65	1982	1.3029507133592737
1	66	1982	1.3028500172773847
1	67	1982	1.302734049062691
1	68	1982	1.3026048757931514
1	69	1982	1.302470451692366
1	70	1982	1.3023293802476397
1	71	1982	1.3021490014286714
1	72	1982	1.301957095498589
1	73	1982	1.3017427289153116
1	74	1982	1.3015059008892995
1	75	1982	1.301242577523642
1	76	1982	1.3009281480050117
1	77	1982	1.300600081366965
1	78	1982	1.3002232028586347
1	79	1982	1.299810150027783
1	80	1982	1.2993365253649527
1	81	1982	1.29878682582151
1	82	1982	1.2981618572795486
1	83	1982	1.2974365429745451
1	84	1982	1.2966175983237656
1	85	1982	1.295691098940106
1	86	1982	1.2946601105860294
1	87	1982	1.2935261642546965
1	88	1982	1.2922708930187614
1	89	1982	1.290877437432066
1	90	1982	1.289329394572767
1	91	1982	1.2709641410366872
1	92	1982	1.2528122867318976
1	93	1982	1.234897663017188
1	94	1982	1.2172523530946497
1	95	1982	1.1999184660466835
1	96	1982	1.1829342415122754
1	97	1982	1.1661483186254555
1	98	1982	1.149689179518792
1	99	1982	1.1336168667256823
1	100	1982	1.1180567915065656
1	50	1983	1.2846041277690872
1	51	1983	1.2872667820734756
1	52	1983	1.2888685714285715
1	53	1983	1.2895020943991018
1	54	1983	1.2894374747065966
1	55	1983	1.288982067313092
1	56	1983	1.288490591951655
1	57	1983	1.2881334671349725
1	58	1983	1.2879302956720466
1	59	1983	1.2878278763251803
1	60	1983	1.2877573960251598
1	61	1983	1.2876712328767121
1	62	1983	1.287623581105822
1	63	1983	1.2875346364818758
1	64	1983	1.2874469163419024
1	65	1983	1.2873702983138782
1	66	1983	1.2872853472754315
1	67	1983	1.2871864048506425
1	68	1983	1.2870629640095563
1	69	1983	1.2869324237902366
1	70	1983	1.2867892885534755
1	71	1983	1.2866234402006134
1	72	1983	1.286450104567165
1	73	1983	1.2862471794103199
1	74	1983	1.2860302695168693
1	75	1983	1.2857722124477677
1	76	1983	1.285488103623455
1	77	1983	1.2851742609167345
1	78	1983	1.2848242533454832
1	79	1983	1.2844369327653269
1	80	1983	1.2839905408905934
1	81	1983	1.2834767403026743
1	82	1983	1.2828893253428681
1	83	1983	1.282211052866618
1	84	1983	1.2814427589450843
1	85	1983	1.2805729001641417
1	86	1983	1.2796070603291223
1	87	1983	1.2785450260834863
1	88	1983	1.277366264945458
1	89	1983	1.2760596188527777
1	90	1983	1.2746082541730859
1	91	1983	1.257274852075231
1	92	1983	1.2401308078932793
1	93	1983	1.2231991607950705
1	94	1983	1.206510076534557
1	95	1983	1.1901044261786708
1	96	1983	1.1740177321282244
1	97	1983	1.1581084211620234
1	98	1983	1.1424978057346962
1	99	1983	1.127242842811295
1	100	1983	1.112463819160436
1	50	1984	1.2699702275823788
1	51	1984	1.2720234660511636
1	52	1984	1.2732342857142855
1	53	1984	1.2736105713175283
1	54	1984	1.2734925131525698
1	55	1984	1.2731458949496461
1	56	1984	1.272833402005219
1	57	1984	1.2725790265930759
1	58	1984	1.2724753606627623
1	59	1984	1.2724075955302023
1	60	1984	1.2723554875278023
1	61	1984	1.2722767916134432
1	62	1984	1.2722242564791082
1	63	1984	1.2721343612749996
1	64	1984	1.2720679470823648
1	65	1984	1.2719844357976653
1	66	1984	1.2719009630263969
1	67	1984	1.2718056405406908
1	68	1984	1.271688031443471
1	69	1984	1.2715720410241835
1	70	1984	1.271445217637514
1	71	1984	1.271287702436734
1	72	1984	1.2711257637056046
1	73	1984	1.27093481211334
1	74	1984	1.2707288620903843
1	75	1984	1.270494281944139
1	76	1984	1.2702225934537203
1	77	1984	1.2699292559443087
1	78	1984	1.2696044804390338
1	79	1984	1.2692396740137064
1	80	1984	1.2688242126461273
1	81	1984	1.2683430209650608
1	82	1984	1.2677947323362038
1	83	1984	1.267159397094569
1	84	1984	1.2664416364666518
1	85	1984	1.265628610702808
1	86	1984	1.2647240770148152
1	87	1984	1.2637292258573343
1	88	1984	1.2626266578655472
1	89	1984	1.261404918235216
1	90	1984	1.260045684883662
1	91	1984	1.2437236103640164
1	92	1984	1.2275686036164046
1	93	1984	1.2116021168545759
1	94	1984	1.195854239376875
1	95	1984	1.1803621640644328
1	96	1984	1.1651602806233559
1	97	1984	1.1501156134440682
1	98	1984	1.1353436188476542
1	99	1984	1.120897891322218
1	100	1984	1.1068922040477578
1	50	1985	1.2553867891204522
1	51	1985	1.2569724947105212
1	52	1985	1.2578285714285713
1	53	1985	1.2580645161290323
1	54	1985	1.2578713071630918
1	55	1985	1.2576466624237206
1	56	1985	1.257416563658838
1	57	1985	1.2572754641244357
1	58	1985	1.2572203970861304
1	59	1985	1.2571696491365163
1	60	1985	1.2571209910793293
1	61	1985	1.2570585385191384
1	62	1985	1.2570080149721305
1	63	1985	1.2569225839286724
1	64	1985	1.2568637388371402
1	65	1985	1.2567769130998703
1	66	1985	1.2566968645302805
1	67	1985	1.2566195694498525
1	68	1985	1.2565057672052817
1	69	1985	1.2564011464032783
1	70	1985	1.256275387413288
1	71	1985	1.2561317974283916
1	72	1985	1.2559840729139078
1	73	1985	1.2558056270243716
1	74	1985	1.2556092535640158
1	75	1985	1.2553881680228722
1	76	1985	1.255137850860516
1	77	1985	1.254865066449688
1	78	1985	1.2545638841392865
1	79	1985	1.2542230042600482
1	80	1985	1.2538333625796962
1	81	1985	1.253385667808669
1	82	1985	1.2528747209212536
1	83	1985	1.2522815756583974
1	84	1985	1.2516088857530763
1	85	1985	1.2508510835979694
1	86	1985	1.2500090348063257
1	87	1985	1.249080664012391
1	88	1985	1.248050370531674
1	89	1985	1.246910286645517
1	90	1985	1.245641686704496
1	91	1985	1.2303104159030434
1	92	1985	1.215125673901274
1	93	1985	1.2001074370732183
1	94	1985	1.1852840485995628
1	95	1985	1.1706909828325733
1	96	1985	1.1563618869976695
1	97	1985	1.1421709779944749
1	98	1985	1.1282270956127565
1	99	1985	1.114581590918954
1	100	1985	1.1013426955451435
1	50	1986	1.2409042741080891
1	51	1986	1.242065781881131
1	52	1986	1.2426057142857143
1	53	1986	1.2427343783737097
1	54	1986	1.2425738567381628
1	55	1986	1.242409494215866
1	56	1986	1.242308748798242
1	57	1986	1.2422227797290517
1	58	1986	1.242165404942151
1	59	1986	1.2421140371441224
1	60	1986	1.2420778226867244
1	61	1986	1.2420164735937982
1	62	1986	1.24195451401603
1	63	1986	1.2418993044428948
1	64	1986	1.2418342916062284
1	65	1986	1.2417639429312581
1	66	1986	1.2416880755998256
1	67	1986	1.2416142849196194
1	68	1986	1.241503326739795
1	69	1986	1.2413960539093774
1	70	1986	1.241290687924031
1	71	1986	1.2411557251755867
1	72	1986	1.2410158996885816
1	73	1986	1.2408512976794144
1	74	1986	1.240671443937764
1	75	1986	1.2404676160105566
1	76	1986	1.2402338758438418
1	77	1986	1.239976041949191
1	78	1986	1.2396922257830019
1	79	1986	1.2393776625300983
1	80	1986	1.2390179906913004
1	81	1986	1.2386009283615582
1	82	1986	1.2381259337597152
1	83	1986	1.23757159427066
1	84	1986	1.2369471793720537
1	85	1986	1.236242701169004
1	86	1986	1.235457682030089
1	87	1986	1.2345955396763557
1	88	1986	1.2336374029438384
1	89	1986	1.232574199616749
1	90	1986	1.2313948926432574
1	91	1986	1.2170328885673074
1	92	1986	1.2027989072375804
1	93	1986	1.1887124038184549
1	94	1986	1.17479871118058
1	95	1986	1.1610908824830921
1	96	1986	1.147621320878683
1	97	1986	1.1342734322903587
1	98	1986	1.1211477592749126
1	99	1986	1.1082943629410003
1	100	1986	1.0958145442759804
1	50	1987	1.2264722208205079
1	51	1987	1.2273033275629928
1	52	1987	1.2276114285714286
