
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)"
="l2drinkd4",="",="-0.133",="-0.182*",="0.0713",="",="0.0179",="",="",="",="-0.303*",="-0.292",="",="",="",="",="",=""
="",="",="(-1.33)",="(-2.16)",="(0.93)",="",="(0.14)",="",="",="",="(-2.37)",="(-1.19)",="",="",="",="",="",=""

="l2hibpe",="",="0.262***",="0.242***",="",="",="0.365***",="0.117**",="0.0687",="0.0261",="",="",="",="",="",="-0.0345",="",="-0.0644"
="",="",="(4.06)",="(4.36)",="",="",="(4.30)",="(3.03)",="(1.08)",="(0.82)",="",="",="",="",="",="(-1.04)",="",="(-1.96)"

="l2psyche",="",="-0.00803",="",="",="",="",="",="",="",="",="",="-0.144**",="",="",="-0.0620",="",="-0.0616"
="",="",="(-0.07)",="",="",="",="",="",="",="",="",="",="(-2.88)",="",="",="(-1.15)",="",="(-1.14)"

="l2diabe",="",="",="-0.220",="0.0781",="",="0.268*",="-0.0841",="0.0642",="0.140**",="",="-0.291",="",="",="",="-0.266***",="",="0.0623"
="",="",="",="(-1.93)",="(0.70)",="",="(2.29)",="(-1.11)",="(0.56)",="(2.93)",="",="(-0.86)",="",="",="",="(-3.77)",="",="(1.05)"

="l2hearte",="",="",="",="",="",="0.0124",="0.152**",="0.117",="0.315***",="",="",="",="",="",="-0.0653",="",="0.0120"
="",="",="",="",="",="",="(0.12)",="(2.93)",="(1.41)",="(9.26)",="",="",="",="",="",="(-1.33)",="",="(0.27)"

="l2cancre",="",="",="",="",="",="-0.0974",="",="0.0379",="0.563***",="",="",="",="",="",="-0.0406",="",="0.0566"
="",="",="",="",="",="",="(-0.60)",="",="(0.31)",="(12.77)",="",="",="",="",="",="(-0.61)",="",="(0.92)"

="l2stroke",="",="",="",="",="",="",="-0.000393",="0.0335",="0.185***",="",="0.0505",="",="",="",="-0.234",="",="-0.115"
="",="",="",="",="",="",="",="(-0.00)",="(0.19)",="(3.50)",="",="(0.14)",="",="",="",="(-1.72)",="",="(-1.38)"

="l2work",="",="",="",="",="",="",="-0.0592",="-0.130",="",="",="",="",="-0.142*",="0.0949",="2.072***",="",="-0.710***"
="",="",="",="",="",="",="",="(-1.28)",="(-1.73)",="",="",="",="",="(-1.98)",="(1.39)",="(50.92)",="",="(-15.45)"

="l2lunge",="",="",="",="",="",="",="",="",="0.362***",="0.403**",="",="",="",="",="-0.151",="",="0.0195"
="",="",="",="",="",="",="",="",="",="(7.47)",="(2.69)",="",="",="",="",="(-1.78)",="",="(0.28)"

="l2adl1",="",="",="",="",="",="",="",="",="0.171***",="",="",="",="0.106",="0.0438",="-0.0616",="",="-0.0119"
="",="",="",="",="",="",="",="",="",="(3.87)",="",="",="",="(1.23)",="(0.48)",="(-0.97)",="",="(-0.21)"

="l2adl2",="",="",="",="",="",="",="",="",="0.298***",="",="",="",="0.252*",="0.150",="-0.183",="",="0.0599"
="",="",="",="",="",="",="",="",="",="(5.29)",="",="",="",="(2.14)",="(1.15)",="(-1.64)",="",="(0.69)"

="l2adl3p",="",="",="",="",="",="",="",="",="0.414***",="",="",="",="0.121",="0.0871",="-0.435**",="",="-0.0323"
="",="",="",="",="",="",="",="",="",="(8.21)",="",="",="",="(0.91)",="(0.65)",="(-2.95)",="",="(-0.35)"

="l2retemp",="",="",="",="",="",="",="",="",="",="",="",="",="-0.127",="0.0346",="-0.314***",="",="1.174***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(-1.69)",="(0.46)",="(-6.84)",="",="(29.58)"

="l2iadl1",="",="",="",="",="",="",="",="",="",="",="",="",="0.186*",="-0.201*",="-0.137*",="",="-0.0523"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(2.24)",="(-2.35)",="(-2.13)",="",="(-0.93)"

="l2iadl2p",="",="",="",="",="",="",="",="",="",="",="",="",="0.0871",="-0.263*",="-0.320**",="",="-0.209**"
